ticker,year,cluster,is_noise,top_theme,theme_label
AAPL,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
ABBV,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
ABT,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
ACN,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
ADBE,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
AMD,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
AMZN,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
AVGO,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
BAC,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
BRK-B,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
COST,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
CRM,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
CSCO,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
CVX,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
DIS,2019,-1,True,-1,noise
GE,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
GOOGL,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
GS,2019,-1,True,-1,noise
HD,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
IBM,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
INTU,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
JNJ,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
JPM,2019,-1,True,-1,noise
KO,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
LIN,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
LLY,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
MA,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
MCD,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
META,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
MRK,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
MS,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
MSFT,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
NEE,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
NFLX,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
NVDA,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
ORCL,2019,-1,True,-1,noise
PEP,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
PG,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
PM,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
QCOM,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
RTX,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
SPGI,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
TMO,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
TSLA,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
TXN,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
UNH,2019,0,False,0,"AAPL, ABBV, ACN, ADBE, AMD"
V,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
WFC,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
WMT,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
XOM,2019,1,False,1,"ABT, AMZN, AVGO, BAC, CVX"
