ticker,year,cluster,is_noise,top_theme,theme_label
AAPL,2021,3,False,3,"AAPL, DIS, IBM, MS, NFLX"
ABBV,2021,4,False,4,"ABBV, ABT, CVX, JNJ, LIN"
ABT,2021,4,False,4,"ABBV, ABT, CVX, JNJ, LIN"
ACN,2021,5,False,5,"ACN, BAC, BRK-B, SPGI, WFC"
ADBE,2021,6,False,6,"ADBE, CRM, GOOGL, HD, INTU"
AMD,2021,-1,True,-1,noise
AMZN,2021,0,False,0,"AMZN, COST, TXN"
AVGO,2021,2,False,2,"AVGO, RTX, TSLA"
BAC,2021,5,False,5,"ACN, BAC, BRK-B, SPGI, WFC"
BRK-B,2021,5,False,5,"ACN, BAC, BRK-B, SPGI, WFC"
COST,2021,0,False,0,"AMZN, COST, TXN"
CRM,2021,6,False,6,"ADBE, CRM, GOOGL, HD, INTU"
CSCO,2021,1,False,1,"CSCO, GS, JPM, KO, MA"
CVX,2021,4,False,4,"ABBV, ABT, CVX, JNJ, LIN"
DIS,2021,3,False,3,"AAPL, DIS, IBM, MS, NFLX"
GE,2021,-1,True,-1,noise
GOOGL,2021,6,False,6,"ADBE, CRM, GOOGL, HD, INTU"
GS,2021,1,False,1,"CSCO, GS, JPM, KO, MA"
HD,2021,6,False,6,"ADBE, CRM, GOOGL, HD, INTU"
IBM,2021,3,False,3,"AAPL, DIS, IBM, MS, NFLX"
INTU,2021,6,False,6,"ADBE, CRM, GOOGL, HD, INTU"
JNJ,2021,4,False,4,"ABBV, ABT, CVX, JNJ, LIN"
JPM,2021,1,False,1,"CSCO, GS, JPM, KO, MA"
KO,2021,1,False,1,"CSCO, GS, JPM, KO, MA"
LIN,2021,4,False,4,"ABBV, ABT, CVX, JNJ, LIN"
LLY,2021,4,False,4,"ABBV, ABT, CVX, JNJ, LIN"
MA,2021,1,False,1,"CSCO, GS, JPM, KO, MA"
MCD,2021,-1,True,-1,noise
META,2021,-1,True,-1,noise
MRK,2021,4,False,4,"ABBV, ABT, CVX, JNJ, LIN"
MS,2021,3,False,3,"AAPL, DIS, IBM, MS, NFLX"
MSFT,2021,6,False,6,"ADBE, CRM, GOOGL, HD, INTU"
NEE,2021,1,False,1,"CSCO, GS, JPM, KO, MA"
NFLX,2021,3,False,3,"AAPL, DIS, IBM, MS, NFLX"
NVDA,2021,6,False,6,"ADBE, CRM, GOOGL, HD, INTU"
ORCL,2021,-1,True,-1,noise
PEP,2021,1,False,1,"CSCO, GS, JPM, KO, MA"
PG,2021,4,False,4,"ABBV, ABT, CVX, JNJ, LIN"
PM,2021,4,False,4,"ABBV, ABT, CVX, JNJ, LIN"
QCOM,2021,1,False,1,"CSCO, GS, JPM, KO, MA"
RTX,2021,2,False,2,"AVGO, RTX, TSLA"
SPGI,2021,5,False,5,"ACN, BAC, BRK-B, SPGI, WFC"
TMO,2021,3,False,3,"AAPL, DIS, IBM, MS, NFLX"
TSLA,2021,2,False,2,"AVGO, RTX, TSLA"
TXN,2021,0,False,0,"AMZN, COST, TXN"
UNH,2021,4,False,4,"ABBV, ABT, CVX, JNJ, LIN"
V,2021,1,False,1,"CSCO, GS, JPM, KO, MA"
WFC,2021,5,False,5,"ACN, BAC, BRK-B, SPGI, WFC"
WMT,2021,-1,True,-1,noise
XOM,2021,-1,True,-1,noise
