ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,best_theme,best_score
AAPL,2023,0.04099338287426372,0.043668088161074085,0.03399955831521299,0.044548205525043245,0.05664541654896852,0.04152015984207164,0.03751067718457349,0.03230783248044132,0.06286430493607377,0.05105634693765036,0.027013259958259903,0.03158541076621356,0.08004969133029946,0.09172269039680869,0.1149910071932671,0.03561467986077559,0.060780400441997784,theme_14,0.1149910071932671
ABBV,2023,0.0362051511229481,0.03295936205527793,0.046376740299335,0.027739045262175823,0.04034228876516088,0.03595292392462084,0.036002260574447005,0.13434072857551238,0.038599189581121594,0.04756996896448784,0.03696918553602178,0.03638927421721809,0.04106819043800433,0.029056665957128493,0.030940086313469697,0.08491489968302683,0.07525450879706448,theme_7,0.13434072857551238
ABT,2023,3.624689677674907e-308,3.460509072803164e-308,6.920965564189064e-308,3.1821825443065835e-308,4.867114602165418e-308,3.9831150225503056e-308,4.410681766481968e-308,1.0606378113438981e-307,4.675796428960028e-308,7.808478167916184e-308,4.755838846389157e-308,4.626235032381732e-308,4.715023344494167e-308,3.364846991629288e-308,3.304325868628847e-308,1.0,7.886103076723987e-308,theme_15,1.0
ACN,2023,0.03686798889451956,0.04519542805013535,0.036396665862302585,0.10400915658883755,0.08273759399273009,0.048809615766963604,0.05820388719677116,0.027676310958670274,0.04109803189688253,0.040633707637606944,0.031988996734846877,0.041437821039669726,0.06381805544440397,0.07316863242427467,0.05025848114810022,0.034501488675003016,0.048614906842450595,theme_3,0.10400915658883755
ADBE,2023,7.903288296284473e-308,4.308730431746765e-308,4.830397545723185e-308,6.714657096872393e-308,8.768491203851669e-308,1.0,1.2955108704392572e-307,4.116072044471119e-308,5.18829056156415e-308,4.677850883494639e-308,5.904652942787454e-308,5.078324180811934e-308,4.934794582474864e-308,4.653612979270001e-308,4.782661755941079e-308,4.528288079942242e-308,5.08646918879631e-308,theme_5,1.0
AMD,2023,4.77511011742948e-308,5.737504929046945e-308,3.868909463244986e-308,8.795216037142435e-308,6.205564815126439e-308,4.860570160185623e-308,4.543704306710541e-308,3.2444672670166545e-308,6.098541799091353e-308,5.099872643570775e-308,3.188718217642305e-308,3.9647686291661467e-308,7.278009878174085e-308,1.0,1.3010887721369333e-307,3.597087225534615e-308,5.232383899349758e-308,theme_13,1.0
AMZN,2023,5.009326474962149e-308,4.898875466269147e-308,6.430260857547255e-308,4.941068508757347e-308,9.827483041341654e-308,5.71804962665716e-308,6.105725613841028e-308,7.60876493705912e-308,7.235531055960238e-308,1.087436544577694e-307,4.645532149185996e-308,5.165101685331987e-308,8.164076444302776e-308,6.043539957782678e-308,5.926124818805774e-308,1.0451317519502524e-307,1.0,theme_16,1.0
AVGO,2023,4.705685381360923e-308,5.332745581106352e-308,6.250733100524588e-308,4.877251625765972e-308,1.2646919978083837e-307,5.448181689067944e-308,5.906635613710688e-308,6.304911265799013e-308,8.51896753211175e-308,1.2051078879567926e-307,4.3672032753911127e-308,5.109814373785709e-308,1.3173374303240124e-307,7.048554858805614e-308,6.419117325672163e-308,1.001955789083381e-307,1.0,theme_16,1.0
BAC,2023,4.3897696132623034e-308,4.739903742539942e-308,1.0,4.257414537696638e-308,4.91875841469393e-308,4.593923918499447e-308,5.133958723003141e-308,6.180606919894062e-308,6.179405916660692e-308,7.49163792894015e-308,7.592526442795675e-308,1.0731801910314975e-307,5.387913473045403e-308,4.147764583149518e-308,3.7350667250096585e-308,7.563047667424616e-308,5.790757119205091e-308,theme_2,1.0
BRK-B,2023,0.02760613698552951,0.06380213320210189,0.030551011069495065,0.02559055522276475,0.031820880239044044,0.025352316342865455,0.026482887181073084,0.02297048132684278,0.03157855055689021,0.025706774930996736,0.02343508168670122,0.03304004383950111,0.04670628909565475,0.026663126710798037,0.024923473468014896,0.025101794247905797,0.03304135885443949,theme_1,0.06380213320210189
COST,2023,5.733219365289741e-308,5.735434967962101e-308,3.870563370564381e-308,5.392468653319669e-308,5.966245179385462e-308,4.702767844205882e-308,4.122461643784561e-308,3.7692568391446184e-308,7.789327439581178e-308,5.82966790022872e-308,3.0941340223990983e-308,3.6106017717738845e-308,7.135246616031804e-308,1.1246178956610303e-307,1.0,3.916368361387861e-308,5.989073559258154e-308,theme_14,1.0
CRM,2023,0.040952760547137756,0.04534389787055506,0.03192694657419322,0.1589069580032596,0.07776477343437319,0.05312533243145687,0.053760173482083534,0.026448731880336855,0.03916219251950514,0.03528171673206281,0.029881823331454574,0.03606399064275018,0.05509396420139968,0.07800267533295757,0.06541605919054347,0.030629142931453388,0.04196102313705315,theme_3,0.1589069580032596
