ticker,year,cluster,is_noise,theme_label
A,2021,-1,True,noise
AAPL,2021,17,False,"AAPL, ABNB, AFL, AMD, AXON"
ABBV,2021,6,False,"ABBV, ABT, BAX, BSX, COR"
ABNB,2021,17,False,"AAPL, ABNB, AFL, AMD, AXON"
ABT,2021,6,False,"ABBV, ABT, BAX, BSX, COR"
ACGL,2021,-1,True,noise
ACN,2021,-1,True,noise
ADBE,2021,-1,True,noise
ADI,2021,14,False,"ADI, AMCR, AMT, BRK-B, DG"
ADM,2021,10,False,"ADM, CASY, CL, CTAS, GIS"
ADP,2021,8,False,"ADP, BA, CARR, CHRW, CMI"
ADSK,2021,-1,True,noise
AEE,2021,0,False,"AEE, ALL, AMGN, APH, AZO"
AEP,2021,4,False,"AEP, D, DUK, ES, FSLR"
AES,2021,15,False,"AES, ARE, ATO, BALL, CFG"
AFL,2021,17,False,"AAPL, ABNB, AFL, AMD, AXON"
AIG,2021,-1,True,noise
AIZ,2021,19,False,"AIZ, CCI, CNC, CRL, EA"
AJG,2021,5,False,"AJG, DOV, FOX, FOXA, MLM"
AKAM,2021,-1,True,noise
ALB,2021,9,False,"ALB, AME, AVY, BAC, BBY"
ALGN,2021,-1,True,noise
ALL,2021,0,False,"AEE, ALL, AMGN, APH, AZO"
ALLE,2021,18,False,"ALLE, BIIB, CRM, LDOS, MA"
AMAT,2021,-1,True,noise
AMCR,2021,14,False,"ADI, AMCR, AMT, BRK-B, DG"
AMD,2021,17,False,"AAPL, ABNB, AFL, AMD, AXON"
AME,2021,9,False,"ALB, AME, AVY, BAC, BBY"
AMGN,2021,0,False,"AEE, ALL, AMGN, APH, AZO"
AMP,2021,7,False,"AMP, BXP, CBRE, CPT, DHI"
AMT,2021,14,False,"ADI, AMCR, AMT, BRK-B, DG"
AMZN,2021,-1,True,noise
ANET,2021,-1,True,noise
AON,2021,-1,True,noise
AOS,2021,-1,True,noise
APA,2021,3,False,"APA, C, CTRA, FCX, LYB"
APD,2021,-1,True,noise
APH,2021,0,False,"AEE, ALL, AMGN, APH, AZO"
APP,2021,20,False,"APP, CIEN, DASH, DE, EBAY"
APTV,2021,-1,True,noise
ARE,2021,15,False,"AES, ARE, ATO, BALL, CFG"
ARES,2021,16,False,"ARES, BR, FIX, J, LRCX"
ATO,2021,15,False,"AES, ARE, ATO, BALL, CFG"
AVB,2021,-1,True,noise
AVGO,2021,13,False,"AVGO, CDNS, CHTR, DECK, DVA"
AVY,2021,9,False,"ALB, AME, AVY, BAC, BBY"
AWK,2021,11,False,"AWK, EG, EQR, IBM, IT"
AXON,2021,17,False,"AAPL, ABNB, AFL, AMD, AXON"
AXP,2021,-1,True,noise
AZO,2021,0,False,"AEE, ALL, AMGN, APH, AZO"
BA,2021,8,False,"ADP, BA, CARR, CHRW, CMI"
BAC,2021,9,False,"ALB, AME, AVY, BAC, BBY"
BALL,2021,15,False,"AES, ARE, ATO, BALL, CFG"
BAX,2021,6,False,"ABBV, ABT, BAX, BSX, COR"
BBY,2021,9,False,"ALB, AME, AVY, BAC, BBY"
BDX,2021,9,False,"ALB, AME, AVY, BAC, BBY"
BEN,2021,-1,True,noise
BF-B,2021,-1,True,noise
BIIB,2021,18,False,"ALLE, BIIB, CRM, LDOS, MA"
BK,2021,9,False,"ALB, AME, AVY, BAC, BBY"
BKNG,2021,-1,True,noise
BKR,2021,-1,True,noise
BLDR,2021,-1,True,noise
BMY,2021,0,False,"AEE, ALL, AMGN, APH, AZO"
BR,2021,16,False,"ARES, BR, FIX, J, LRCX"
BRK-B,2021,14,False,"ADI, AMCR, AMT, BRK-B, DG"
BRO,2021,-1,True,noise
BSX,2021,6,False,"ABBV, ABT, BAX, BSX, COR"
BX,2021,-1,True,noise
BXP,2021,7,False,"AMP, BXP, CBRE, CPT, DHI"
C,2021,3,False,"APA, C, CTRA, FCX, LYB"
CAG,2021,-1,True,noise
CAH,2021,2,False,"CAH, ED, EIX, HON, KMI"
CARR,2021,8,False,"ADP, BA, CARR, CHRW, CMI"
CASY,2021,10,False,"ADM, CASY, CL, CTAS, GIS"
CAT,2021,-1,True,noise
CB,2021,-1,True,noise
CBOE,2021,-1,True,noise
CBRE,2021,7,False,"AMP, BXP, CBRE, CPT, DHI"
CCI,2021,19,False,"AIZ, CCI, CNC, CRL, EA"
CCL,2021,0,False,"AEE, ALL, AMGN, APH, AZO"
CDNS,2021,13,False,"AVGO, CDNS, CHTR, DECK, DVA"
CDW,2021,17,False,"AAPL, ABNB, AFL, AMD, AXON"
CEG,2021,-1,True,noise
CF,2021,-1,True,noise
CFG,2021,15,False,"AES, ARE, ATO, BALL, CFG"
CHD,2021,-1,True,noise
CHRW,2021,8,False,"ADP, BA, CARR, CHRW, CMI"
CHTR,2021,13,False,"AVGO, CDNS, CHTR, DECK, DVA"
CI,2021,0,False,"AEE, ALL, AMGN, APH, AZO"
CIEN,2021,20,False,"APP, CIEN, DASH, DE, EBAY"
CINF,2021,-1,True,noise
CL,2021,10,False,"ADM, CASY, CL, CTAS, GIS"
CLX,2021,1,False,"CLX, ETR, FANG, FTNT, GNRC"
CMCSA,2021,-1,True,noise
CME,2021,-1,True,noise
CMG,2021,15,False,"AES, ARE, ATO, BALL, CFG"
CMI,2021,8,False,"ADP, BA, CARR, CHRW, CMI"
CMS,2021,-1,True,noise
CNC,2021,19,False,"AIZ, CCI, CNC, CRL, EA"
CNP,2021,-1,True,noise
COF,2021,15,False,"AES, ARE, ATO, BALL, CFG"
COHR,2021,-1,True,noise
COIN,2021,-1,True,noise
COO,2021,-1,True,noise
COP,2021,-1,True,noise
COR,2021,6,False,"ABBV, ABT, BAX, BSX, COR"
COST,2021,17,False,"AAPL, ABNB, AFL, AMD, AXON"
CPAY,2021,-1,True,noise
CPB,2021,-1,True,noise
CPRT,2021,0,False,"AEE, ALL, AMGN, APH, AZO"
CPT,2021,7,False,"AMP, BXP, CBRE, CPT, DHI"
CRL,2021,19,False,"AIZ, CCI, CNC, CRL, EA"
CRM,2021,18,False,"ALLE, BIIB, CRM, LDOS, MA"
CRWD,2021,-1,True,noise
CSCO,2021,-1,True,noise
CSGP,2021,-1,True,noise
CSX,2021,8,False,"ADP, BA, CARR, CHRW, CMI"
CTAS,2021,10,False,"ADM, CASY, CL, CTAS, GIS"
CTRA,2021,3,False,"APA, C, CTRA, FCX, LYB"
CTSH,2021,8,False,"ADP, BA, CARR, CHRW, CMI"
CTVA,2021,-1,True,noise
CVNA,2021,-1,True,noise
CVS,2021,6,False,"ABBV, ABT, BAX, BSX, COR"
CVX,2021,8,False,"ADP, BA, CARR, CHRW, CMI"
D,2021,4,False,"AEP, D, DUK, ES, FSLR"
