ticker,year,cluster,is_noise,theme_label
A,2021,-1,True,noise
AAPL,2021,-1,True,noise
ABBV,2021,14,False,"ABBV, ABT, ALGN, BAX, BDX"
ABNB,2021,-1,True,noise
ABT,2021,14,False,"ABBV, ABT, ALGN, BAX, BDX"
ACGL,2021,-1,True,noise
ACN,2021,21,False,"ACN, ADP, AXP, BR, CPAY"
ADBE,2021,23,False,"ADBE, ANET, APP, CRM, CRWD"
ADI,2021,22,False,"ADI, AVGO, CDNS, CDW, DELL"
ADM,2021,17,False,"ADM, AVY, BALL, CL, CLX"
ADP,2021,21,False,"ACN, ADP, AXP, BR, CPAY"
ADSK,2021,-1,True,noise
AEE,2021,10,False,"AEE, AEP, AES, ATO, CEG"
AEP,2021,10,False,"AEE, AEP, AES, ATO, CEG"
AES,2021,10,False,"AEE, AEP, AES, ATO, CEG"
AFL,2021,15,False,"AFL, AIG, AJG, BRK-B, BRO"
AIG,2021,15,False,"AFL, AIG, AJG, BRK-B, BRO"
AIZ,2021,8,False,"AIZ, ARES, BX, HLT, INVH"
AJG,2021,15,False,"AFL, AIG, AJG, BRK-B, BRO"
AKAM,2021,-1,True,noise
ALB,2021,-1,True,noise
ALGN,2021,14,False,"ABBV, ABT, ALGN, BAX, BDX"
ALL,2021,5,False,"ALL, AZO, CI, EOG, FE"
ALLE,2021,-1,True,noise
AMAT,2021,-1,True,noise
AMCR,2021,1,False,"AMCR, BIIB, CCI, DHR, FAST"
AMD,2021,-1,True,noise
AME,2021,18,False,"AME, AOS, BA, DOV, ECL"
AMGN,2021,4,False,"AMGN, APH, IP, MSI, NDSN"
AMP,2021,20,False,"AMP, AON, BEN, IVZ, KKR"
AMT,2021,6,False,"AMT, BXP, CBRE, CPT, CSGP"
AMZN,2021,-1,True,noise
ANET,2021,23,False,"ADBE, ANET, APP, CRM, CRWD"
AON,2021,20,False,"AMP, AON, BEN, IVZ, KKR"
AOS,2021,18,False,"AME, AOS, BA, DOV, ECL"
APA,2021,2,False,"APA, C, CAG, CAH, CHD"
APD,2021,11,False,"APD, BKR, CF, CVX, EQT"
APH,2021,4,False,"AMGN, APH, IP, MSI, NDSN"
APP,2021,23,False,"ADBE, ANET, APP, CRM, CRWD"
APTV,2021,19,False,"APTV, CARR, CMI, DE, F"
ARE,2021,-1,True,noise
ARES,2021,8,False,"AIZ, ARES, BX, HLT, INVH"
ATO,2021,10,False,"AEE, AEP, AES, ATO, CEG"
AVB,2021,-1,True,noise
AVGO,2021,22,False,"ADI, AVGO, CDNS, CDW, DELL"
AVY,2021,17,False,"ADM, AVY, BALL, CL, CLX"
AWK,2021,9,False,"AWK, BF-B, DAL, EL, EPAM"
AXON,2021,-1,True,noise
AXP,2021,21,False,"ACN, ADP, AXP, BR, CPAY"
AZO,2021,5,False,"ALL, AZO, CI, EOG, FE"
BA,2021,18,False,"AME, AOS, BA, DOV, ECL"
BAC,2021,0,False,"BAC, BK, CFG, COF, FITB"
BALL,2021,17,False,"ADM, AVY, BALL, CL, CLX"
BAX,2021,14,False,"ABBV, ABT, ALGN, BAX, BDX"
BBY,2021,16,False,"BBY, CASY, COST, DECK, DG"
BDX,2021,14,False,"ABBV, ABT, ALGN, BAX, BDX"
BEN,2021,20,False,"AMP, AON, BEN, IVZ, KKR"
BF-B,2021,9,False,"AWK, BF-B, DAL, EL, EPAM"
BIIB,2021,1,False,"AMCR, BIIB, CCI, DHR, FAST"
BK,2021,0,False,"BAC, BK, CFG, COF, FITB"
BKNG,2021,-1,True,noise
BKR,2021,11,False,"APD, BKR, CF, CVX, EQT"
BLDR,2021,-1,True,noise
BMY,2021,-1,True,noise
BR,2021,21,False,"ACN, ADP, AXP, BR, CPAY"
