ticker,year,x,y,cluster
A,2019,-4.2436047,26.867624,-1
AAPL,2019,-6.3373833,27.424065,7
ABBV,2019,-3.4801848,25.72284,9
ABT,2019,-3.3828547,25.819265,9
ACGL,2019,-5.869274,26.518217,13
ACN,2019,-5.812433,26.9532,15
ADBE,2019,-5.1676083,27.152445,10
ADI,2019,-5.6548,27.592894,7
ADM,2019,-3.417672,24.528439,5
ADP,2019,-4.1389365,27.196468,10
ADSK,2019,-5.6779156,27.98279,7
AEE,2019,-4.1524153,20.585936,1
AEP,2019,-4.906976,23.32764,8
AES,2019,-4.988945,24.018557,8
AFL,2019,-6.4887476,26.126776,14
AIG,2019,-5.1358457,25.494324,6
AIZ,2019,-6.8618765,26.322731,15
AJG,2019,-5.9637322,24.890474,6
AKAM,2019,-4.496449,27.435541,10
ALB,2019,-4.5201883,25.845581,-1
ALGN,2019,-5.385456,27.629791,7
ALL,2019,-3.9219286,20.72591,1
ALLE,2019,-5.8470225,26.399645,13
AMAT,2019,-8.824136,-1.4900075,0
AMCR,2019,-6.325493,27.741665,7
AMD,2019,-6.2096415,26.42716,-1
AME,2019,-5.7042828,25.471313,-1
AMGN,2019,-3.8625045,20.32984,1
AMP,2019,-5.231642,25.555943,-1
AMT,2019,-5.3248525,26.644712,-1
AMZN,2019,-4.4682736,27.036425,-1
ANET,2019,-4.4145336,27.500658,10
AON,2019,-5.07612,27.087776,-1
AOS,2019,-4.050815,25.249134,4
APD,2019,-6.116401,27.75695,7
APH,2019,-3.9615753,20.460684,1
APTV,2019,-6.1963744,26.375938,-1
ARE,2019,-6.441613,25.433641,-1
ARES,2019,-6.3891373,26.580057,-1
ATO,2019,-4.9118743,23.71432,8
AVB,2019,-6.7833543,25.206928,12
AVGO,2019,-6.179779,26.727856,-1
AVY,2019,-8.798929,-1.3875313,0
AWK,2019,-6.7184343,24.922407,12
AXON,2019,-5.0947976,26.255898,-1
AXP,2019,-4.4070587,26.360521,-1
AZO,2019,-3.7616594,20.212011,1
BA,2019,-4.562904,26.438288,11
BAC,2019,-5.490109,25.398903,6
BALL,2019,-4.317819,25.07769,4
BAX,2019,-6.6810126,25.679262,12
BBY,2019,-4.6585174,26.957672,-1
BDX,2019,-3.387141,26.231026,9
BEN,2019,-6.706666,26.27077,14
BF-B,2019,-6.4107285,25.594107,14
BIIB,2019,-3.9897068,25.802809,9
BK,2019,-5.7347,25.238087,6
BKNG,2019,-7.677695,26.249144,2
BKR,2019,-5.9142623,25.819845,-1
BLDR,2019,-6.467352,26.141994,-1
BMY,2019,-3.9076042,20.315268,1
BR,2019,-6.038553,27.280811,-1
BRK-B,2019,-7.0061336,26.033894,12
BRO,2019,-6.4570875,26.357058,15
BSX,2019,-3.370733,26.439053,9
BX,2019,-6.0164027,26.371721,13
BXP,2019,-7.58595,24.77805,3
C,2019,-8.653842,-1.2927737,0
CAG,2019,-3.530764,24.408052,5
CAH,2019,-8.713392,-1.2834812,0
CASY,2019,-3.4844022,24.591661,5
CAT,2019,-5.260884,25.535343,-1
CB,2019,-5.540272,24.899662,6
CBOE,2019,-6.3579884,24.930716,-1
CBRE,2019,-7.455,24.933002,3
CCI,2019,-4.8218503,27.524174,-1
CCL,2019,-4.4390903,20.689362,2
CDNS,2019,-5.7434545,26.966131,15
CDW,2019,-6.176352,26.231739,13
CF,2019,-4.336733,25.068514,4
CFG,2019,-5.4186516,24.123327,8
CHD,2019,-8.84041,-1.4437186,0
CHRW,2019,-4.685741,25.710968,11
CHTR,2019,-6.972318,26.507359,15
CI,2019,-3.8760474,26.136261,9
CIEN,2019,-5.3149233,27.835913,7
CINF,2019,-5.407653,24.689766,6
CL,2019,-3.7543454,25.41035,-1
CLX,2019,-6.1457205,27.668776,7
CMCSA,2019,-7.1012177,27.005373,-1
CME,2019,-6.3336325,25.058952,-1
CMG,2019,-3.644508,24.276268,5
CMI,2019,-4.8556623,25.488783,-1
CMS,2019,-4.9293103,23.636402,8
CNC,2019,-5.9298277,26.331059,-1
CNP,2019,-5.004514,23.575176,8
COF,2019,-5.462758,24.320005,8
COHR,2019,-4.7057276,27.737791,-1
COO,2019,-6.0436177,27.379858,7
COP,2019,-8.908276,-1.5521357,0
COR,2019,-3.3726025,26.01179,9
COST,2019,-5.431843,25.95705,-1
CPAY,2019,-5.2532415,26.04282,-1
CPB,2019,-3.7103882,24.276522,5
CPRT,2019,-3.9585695,20.390863,1
CPT,2019,-7.616761,25.075897,3
CRL,2019,-6.46276,26.983105,15
CRM,2019,-4.31716,27.409096,10
CRWD,2019,-4.6006413,27.254967,10
CSCO,2019,-6.5217614,27.299719,-1
CSGP,2019,-7.4124017,24.822418,3
CSX,2019,-4.8358274,25.201775,11
CTAS,2019,-4.7397485,24.730639,-1
CTRA,2019,-8.904826,-1.5409592,0
CTSH,2019,-3.8971386,27.048527,10
CTVA,2019,-6.248779,24.48535,-1
CVNA,2019,-5.629773,26.293896,-1
CVS,2019,-3.1464343,25.95752,9
CVX,2019,-5.8110914,23.76826,8
D,2019,-5.14949,23.338043,8
DAL,2019,-4.6660066,26.368025,11
DD,2019,-6.141508,24.38234,-1
DDOG,2019,-5.3991566,26.983427,-1
DE,2019,-6.671605,25.520222,-1
DECK,2019,-5.7476907,28.036722,7
DELL,2019,-4.2133603,27.540895,10
DG,2019,-6.0015097,26.803556,-1
DGX,2019,-3.828053,20.465965,1
DHI,2019,-7.486256,25.252813,3
DHR,2019,-5.5497785,26.373072,13
DIS,2019,-6.131233,28.091589,7
DLR,2019,-7.511936,24.696918,3
DLTR,2019,-5.9213367,27.95624,7
DOC,2019,-7.3467097,25.54264,-1
DOV,2019,-4.6364536,25.342411,4
DOW,2019,-6.112342,24.380903,-1
DPZ,2019,-3.4008863,24.269962,5
DRI,2019,-3.9407408,24.413843,-1
DTE,2019,-8.655411,-1.5373931,0
DUK,2019,-4.8946953,23.281862,8
DVA,2019,-3.7756355,26.14811,9
DVN,2019,-8.738466,-1.5212097,0
DXCM,2019,-3.8616214,26.17628,9
EA,2019,-5.5114074,28.177988,7
EBAY,2019,-5.355151,27.088013,10
ECL,2019,-5.1998596,23.7152,8
ED,2019,-8.922049,-1.635815,0
EFX,2019,-4.288195,27.15955,10
EG,2019,-5.921421,24.83667,6
EIX,2019,-8.659135,-1.3744042,0
EL,2019,-6.523092,25.39595,12
ELV,2019,-6.530452,26.691853,15
EME,2019,-5.964704,25.976488,13
EMR,2019,-4.1421614,25.185444,4
EOG,2019,-5.741481,23.724234,8
EPAM,2019,-6.7526665,25.269564,12
EQIX,2019,-4.5687428,27.544918,10
EQR,2019,-7.1630425,24.889946,3
EQT,2019,-6.037133,23.92762,8
ERIE,2019,-5.935259,25.051609,6
ES,2019,-5.6261325,25.93586,-1
ESS,2019,-7.3896484,24.867289,3
ETN,2019,-5.813336,25.638113,-1
ETR,2019,-8.625089,-1.3103474,0
EVRG,2019,-6.158363,25.717722,-1
EW,2019,-6.130914,26.291079,13
EXC,2019,-4.981411,23.349289,8
EXE,2019,-5.8851943,23.800924,8
EXPD,2019,-4.840969,25.796854,11
EXPE,2019,-6.6755247,26.586597,15
EXR,2019,-6.1300116,26.122347,13
F,2019,-5.153375,25.189987,-1
FANG,2019,-5.5894017,23.596087,8
FAST,2019,-5.4161344,25.963423,-1
FCX,2019,-8.702221,-1.4931515,0
FDS,2019,-6.7596097,25.029613,12
FDX,2019,-4.7054234,25.818739,11
FE,2019,-4.875748,23.057423,8
FFIV,2019,-7.0235276,25.56123,12
FICO,2019,-6.0048633,26.833786,-1
FIS,2019,-4.4532886,27.210155,10
FISV,2019,-5.0715065,26.729834,-1
FITB,2019,-4.5767446,21.335432,12
FIX,2019,-6.7575593,25.983181,14
FOX,2019,-7.109338,27.463575,-1
FOXA,2019,-7.1543746,27.469292,-1
FRT,2019,-7.311818,25.463354,3
FSLR,2019,-5.1283894,26.307632,-1
FTNT,2019,-4.339239,27.452145,10
FTV,2019,-5.4304147,26.266413,-1
GD,2019,-4.606724,26.451294,11
GDDY,2019,-4.342964,27.00329,10
GE,2019,-6.6347027,25.055696,-1
GEN,2019,-6.140773,27.64772,7
GILD,2019,-3.6515732,25.859789,9
GIS,2019,-3.3270109,24.448442,5
GL,2019,-5.2768683,24.883896,6
GLW,2019,-3.8556745,27.445387,-1
GM,2019,-5.2303486,25.287457,-1
GNRC,2019,-4.954599,23.452753,8
GOOG,2019,-5.062518,27.912815,7
GOOGL,2019,-5.162945,27.975916,7
GPC,2019,-5.609725,26.57886,-1
GPN,2019,-5.2301593,26.381369,-1
GRMN,2019,-6.6604824,26.134193,14
GS,2019,-4.257741,20.974623,1
GWW,2019,-8.791423,-1.4260846,0
HAL,2019,-5.1564403,25.852552,-1
HAS,2019,-6.510884,27.71884,7
HBAN,2019,-5.4370255,24.232021,8
HCA,2019,-3.4981713,26.414953,9
HD,2019,-5.258337,24.214981,8
HIG,2019,-5.3818464,25.003883,6
HII,2019,-4.5241323,26.175245,11
HLT,2019,-7.5244584,25.994322,2
HON,2019,-4.7297235,26.599838,11
HPE,2019,-5.941794,27.862133,7
HPQ,2019,-6.01985,27.853395,7
HRL,2019,-3.3354697,24.43176,5
HSIC,2019,-3.531128,26.392872,9
HST,2019,-7.7150583,26.187328,2
HSY,2019,-3.4701514,24.742702,5
HUBB,2019,-6.217456,26.151884,-1
HUM,2019,-3.6057827,26.290941,9
HWM,2019,-6.69892,26.838488,-1
IBKR,2019,-6.9312005,26.417568,15
IBM,2019,-4.777229,27.16557,10
ICE,2019,-4.166496,26.96024,10
IDXX,2019,-6.624394,25.638037,12
IEX,2019,-5.488552,25.614105,-1
IFF,2019,-3.393248,24.866148,5
INCY,2019,-3.6354005,25.87182,9
INTC,2019,-6.679102,25.065203,-1
INTU,2019,-4.7071548,27.246988,10
INVH,2019,-7.4069076,25.199533,3
IP,2019,-3.9073837,20.40287,1
IQV,2019,-3.5210328,26.588673,9
IR,2019,-6.905977,26.375967,12
IRM,2019,-5.509901,26.379812,13
ISRG,2019,-3.3319042,26.470215,9
IT,2019,-6.606961,25.634998,12
ITW,2019,-4.141887,24.713726,-1
IVZ,2019,-5.7562656,26.142801,13
J,2019,-7.061971,25.759296,12
JBHT,2019,-5.2129707,26.169214,-1
JBL,2019,-6.7264853,26.704243,15
JCI,2019,-6.401956,27.693172,7
JKHY,2019,-6.3967514,26.388903,-1
JNJ,2019,-3.527814,25.45963,9
JPM,2019,-4.4523473,21.170805,1
KDP,2019,-5.1502886,24.004755,8
KEY,2019,-5.4786577,25.036032,6
KEYS,2019,-4.7776737,27.815842,-1
KHC,2019,-4.8213124,24.78693,-1
KIM,2019,-7.4218497,24.803333,3
KKR,2019,-6.6265135,26.651314,-1
KLAC,2019,-5.492057,27.850689,7
KMB,2019,-3.9892046,25.356056,-1
KMI,2019,-8.664667,-1.5658207,0
KO,2019,-6.328357,25.999086,-1
KR,2019,-6.066506,27.511,7
L,2019,-5.659491,24.602953,6
LDOS,2019,-4.3347154,26.750095,11
LEN,2019,-7.525484,25.273838,3
LH,2019,-4.0935555,20.35545,1
LII,2019,-4.6361084,24.117521,-1
LIN,2019,-5.5978,23.883987,-1
LITE,2019,-5.7403207,27.6722,7
LLY,2019,-4.0893183,25.871458,9
LMT,2019,-4.42901,26.751453,11
LNT,2019,-4.8412824,23.452904,8
LOW,2019,-7.263799,25.459736,3
LRCX,2019,-5.5569377,26.612938,13
