ticker,year,x,y,cluster
A,2021,12.549757,15.313812,-1
AAPL,2021,14.105109,19.33791,17
ABBV,2021,11.0980625,16.012178,6
ABNB,2021,14.689833,19.409632,17
ABT,2021,11.081491,15.745405,6
ACGL,2021,14.17498,19.352524,-1
ACN,2021,14.94989,18.80926,-1
ADBE,2021,15.7317295,18.4451,-1
ADI,2021,12.395903,19.120644,14
ADM,2021,11.755917,15.515082,10
ADP,2021,12.921628,15.529796,8
ADSK,2021,15.588011,19.064127,-1
AEE,2021,9.79562,15.498969,0
AEP,2021,11.022469,17.58493,4
AES,2021,10.854162,19.040148,15
AFL,2021,14.23948,19.790154,17
AIG,2021,11.50166,18.284956,-1
AIZ,2021,16.201094,19.39452,19
AJG,2021,12.762513,16.180891,5
AKAM,2021,14.739825,19.319307,-1
ALB,2021,12.200489,16.797844,9
ALGN,2021,12.411774,17.811646,-1
ALL,2021,9.729866,15.368337,0
ALLE,2021,15.0104685,20.021729,18
AMAT,2021,-14.965535,5.4184737,-1
AMCR,2021,12.449931,19.011826,14
AMD,2021,14.618539,19.45983,17
AME,2021,12.652715,16.744526,9
AMGN,2021,9.585041,15.059664,0
AMP,2021,12.59977,16.666477,7
AMT,2021,11.779773,18.772215,14
AMZN,2021,14.645524,18.383879,-1
ANET,2021,14.998985,18.932901,-1
AON,2021,11.725102,18.70709,-1
AOS,2021,12.906563,17.628632,-1
APA,2021,-15.024034,5.3901424,3
APD,2021,16.111544,19.477028,-1
APH,2021,9.933947,15.126016,0
APP,2021,15.992643,19.15177,20
APTV,2021,14.866783,18.597782,-1
ARE,2021,11.630763,18.060343,15
ARES,2021,15.539585,18.993246,16
ATO,2021,11.2098675,18.496222,15
AVB,2021,14.321229,18.534737,-1
AVGO,2021,13.35873,18.156878,13
AVY,2021,12.557225,16.838356,9
AWK,2021,12.191135,17.89579,11
AXON,2021,14.548396,19.578287,17
AXP,2021,12.7034235,16.21854,-1
AZO,2021,9.606422,15.078918,0
BA,2021,12.672725,15.675677,8
BAC,2021,12.740027,16.62055,9
BALL,2021,11.001248,19.238604,15
BAX,2021,11.115652,16.008068,6
BBY,2021,12.467177,16.577982,9
BDX,2021,12.567037,16.858017,9
BEN,2021,13.930598,19.041952,-1
BF-B,2021,14.998093,19.0777,-1
BIIB,2021,15.41588,19.837275,18
BK,2021,12.793048,16.838888,9
BKNG,2021,14.903984,18.510939,-1
BKR,2021,12.010049,17.406858,-1
BLDR,2021,13.893379,18.347963,-1
BMY,2021,9.680261,14.967205,0
BR,2021,15.341933,19.66128,16
BRK-B,2021,11.915021,19.228832,14
BRO,2021,13.98435,18.41421,-1
BSX,2021,11.009143,16.148277,6
BX,2021,14.367674,18.468685,-1
BXP,2021,11.942427,17.084352,7
C,2021,-14.8647585,5.538918,3
CAG,2021,-14.7565155,5.5181756,-1
CAH,2021,-15.008307,5.4993167,2
CARR,2021,12.095216,15.203544,8
CASY,2021,12.034242,16.171082,10
CAT,2021,12.368377,17.285965,-1
CB,2021,12.155786,16.525433,-1
CBOE,2021,12.371101,17.764414,-1
CBRE,2021,12.3636675,16.993862,7
CCI,2021,15.895216,19.281946,19
CCL,2021,10.111408,15.362231,0
CDNS,2021,13.168525,18.051628,13
CDW,2021,14.112924,19.633821,17
CEG,2021,10.91054,18.313644,-1
CF,2021,12.571817,18.61761,-1
CFG,2021,11.593618,18.301971,15
CHD,2021,-14.851277,5.494764,-1
CHRW,2021,12.649508,15.851235,8
CHTR,2021,13.5945215,17.786272,13
CI,2021,9.8875265,15.45047,0
CIEN,2021,16.297258,19.127672,20
CINF,2021,11.918873,18.787647,-1
CL,2021,12.029977,15.739652,10
CLX,2021,14.777511,17.538559,1
CMCSA,2021,12.845299,17.646389,-1
CME,2021,14.859321,18.662107,-1
CMG,2021,11.241744,19.06049,15
CMI,2021,11.823886,15.229243,8
CMS,2021,12.56565,18.908224,-1
CNC,2021,15.660185,19.306772,19
CNP,2021,11.11196,18.411982,-1
COF,2021,10.809892,19.104105,15
COHR,2021,13.026668,17.308313,-1
COIN,2021,16.010746,18.970755,-1
COO,2021,13.763778,18.440536,-1
COP,2021,-14.839388,5.515156,-1
COR,2021,11.071682,15.766784,6
COST,2021,14.176928,19.88085,17
CPAY,2021,15.421083,18.730026,-1
CPB,2021,15.17733,19.636187,-1
CPRT,2021,9.527611,15.051455,0
CPT,2021,11.884222,17.223242,7
CRL,2021,16.285969,18.899483,19
CRM,2021,15.674164,19.762968,18
CRWD,2021,13.661338,19.30724,-1
CSCO,2021,14.107535,18.595922,-1
CSGP,2021,14.351585,18.065825,-1
CSX,2021,11.473761,15.496713,8
CTAS,2021,12.293468,15.920598,10
CTRA,2021,-14.756514,5.566252,3
CTSH,2021,12.476441,15.03807,8
CTVA,2021,13.588644,18.326246,-1
CVNA,2021,13.899467,19.418121,-1
CVS,2021,11.137858,15.9566,6
CVX,2021,11.553766,15.407306,8
D,2021,10.995905,17.39259,4
DAL,2021,12.879596,18.39656,-1
DASH,2021,16.108107,19.068468,20
DD,2021,13.693256,18.552643,-1
DDOG,2021,14.001914,17.7091,-1
DE,2021,16.173098,19.040564,20
DECK,2021,13.26131,18.57111,13
DELL,2021,13.338426,17.716364,-1
DG,2021,12.1363535,19.160097,14
DGX,2021,9.627516,15.007957,0
DHI,2021,11.856361,16.962782,7
DHR,2021,12.645579,18.747295,-1
DIS,2021,13.268765,18.446226,-1
DLR,2021,13.942358,17.433363,-1
DLTR,2021,15.609795,19.622717,-1
DOC,2021,13.33172,18.122614,12
DOV,2021,12.710669,16.294859,5
DOW,2021,12.411631,19.257212,14
DPZ,2021,12.217792,18.099407,-1
DRI,2021,13.483331,18.81365,-1
DTE,2021,-15.004191,5.5312724,-1
DUK,2021,11.163823,17.649126,4
DVA,2021,13.361131,18.146456,13
DVN,2021,-15.03984,5.4242826,-1
DXCM,2021,14.30335,19.02739,-1
EA,2021,16.225828,19.14086,19
EBAY,2021,15.839733,19.285263,20
ECL,2021,13.258878,17.999376,-1
ED,2021,-14.943033,5.403178,2
EFX,2021,13.193328,15.60995,8
EG,2021,12.225257,17.82967,11
EIX,2021,-14.926944,5.4618244,2
EL,2021,13.727956,19.72188,17
ELV,2021,13.496737,17.995285,13
EME,2021,15.708722,19.09398,-1
EMR,2021,12.4478445,15.129878,8
EOG,2021,9.508162,15.065978,0
EPAM,2021,13.155743,17.511652,12
EQIX,2021,12.675814,14.980664,8
EQR,2021,12.068857,17.706463,11
EQT,2021,11.642509,17.453524,-1
ERIE,2021,11.866847,17.217953,-1
ES,2021,11.232939,17.626257,4
ESS,2021,14.4163,18.703781,-1
ETN,2021,12.418384,15.290001,8
ETR,2021,14.942587,17.150757,1
EVRG,2021,14.276813,18.012075,-1
EW,2021,14.064876,18.676847,-1
EXC,2021,9.763084,15.537238,0
EXE,2021,12.751888,18.01478,-1
EXPD,2021,14.669688,19.559132,17
EXPE,2021,14.317313,19.586187,17
EXR,2021,15.425442,18.541124,-1
F,2021,11.295874,18.872923,15
FANG,2021,14.990198,17.103764,1
FAST,2021,14.506276,19.127766,-1
FCX,2021,-14.789932,5.455132,3
FDS,2021,12.098283,18.014742,-1
FDX,2021,14.676724,19.890886,-1
FE,2021,9.526983,15.320467,0
FFIV,2021,15.552873,19.09929,-1
FICO,2021,14.191064,19.395239,17
FIS,2021,12.663707,16.077301,8
FISV,2021,15.932086,19.548153,-1
FITB,2021,10.697065,19.028957,15
FIX,2021,15.553269,19.539248,16
FOX,2021,13.154628,15.869629,5
FOXA,2021,13.17531,15.818579,5
FRT,2021,15.734658,19.109875,20
FSLR,2021,12.557871,17.782146,4
FTNT,2021,14.821531,17.342024,1
FTV,2021,14.245086,18.193687,-1
GD,2021,12.885702,15.597772,8
GDDY,2021,15.456221,18.86373,-1
GE,2021,12.801892,18.44606,-1
GEN,2021,13.110529,17.447256,12
GILD,2021,12.251082,16.861425,-1
GIS,2021,11.918354,15.613973,10
GL,2021,11.307647,18.938082,15
GLW,2021,12.36414,15.153732,8
GM,2021,11.055636,19.147272,15
GNRC,2021,14.798906,16.878431,1
GOOG,2021,14.870615,17.22625,1
GOOGL,2021,14.946684,17.25796,1
GPC,2021,12.444151,15.902916,-1
GPN,2021,14.889036,17.293577,1
GRMN,2021,12.977721,18.276613,-1
GS,2021,9.575158,15.392012,0
GWW,2021,-14.760166,5.43464,-1
HAL,2021,11.264688,17.982428,-1
HAS,2021,13.823233,19.709194,17
HBAN,2021,11.4521475,18.550898,15
HCA,2021,11.380748,16.496471,6
HD,2021,11.99691,18.353657,15
HIG,2021,11.855782,16.929058,-1
HII,2021,12.200537,16.686981,-1
HLT,2021,14.857586,17.36776,1
HON,2021,-15.032761,5.5663276,2
HOOD,2021,16.080837,19.308044,-1
HPE,2021,13.852862,19.582645,17
HPQ,2021,13.610067,18.263985,-1
HRL,2021,11.814273,15.619927,10
HSIC,2021,11.394158,16.353497,6
HST,2021,12.915383,18.39581,-1
HSY,2021,14.121792,19.87546,17
HUBB,2021,12.292426,16.042503,10
HUM,2021,14.198178,18.565413,-1
HWM,2021,13.197265,18.474281,13
IBKR,2021,14.766987,19.467714,17
IBM,2021,12.197894,18.515942,11
ICE,2021,13.005387,15.183176,8
IDXX,2021,12.735451,17.749477,-1
IEX,2021,11.01889,19.036375,15
IFF,2021,11.77234,15.866042,10
INCY,2021,16.213371,19.294449,-1
INTC,2021,13.28565,18.9699,-1
INTU,2021,12.880401,15.14754,8
INVH,2021,15.482618,19.092358,-1
IP,2021,9.611014,15.027667,0
IQV,2021,10.9780655,16.045267,6
IR,2021,14.527011,19.09492,-1
IRM,2021,14.136047,19.036602,-1
ISRG,2021,15.240042,19.25026,-1
IT,2021,12.3998165,18.120558,11
ITW,2021,12.560865,15.899124,-1
IVZ,2021,14.459889,18.188595,-1
J,2021,15.70978,19.61253,16
JBHT,2021,12.323165,18.473677,11
JBL,2021,14.410321,19.531246,-1
JCI,2021,14.41148,19.268343,-1
JKHY,2021,13.507037,18.045914,13
JNJ,2021,11.083116,15.842819,6
JPM,2021,9.381585,15.519172,0
KDP,2021,11.959201,17.89512,-1
KEY,2021,13.011275,16.403109,9
KEYS,2021,12.721853,16.158676,-1
KHC,2021,10.859034,19.045958,15
KIM,2021,12.2520895,18.525528,11
KKR,2021,15.175947,18.94694,-1
KLAC,2021,11.958881,19.216076,14
KMB,2021,12.32273,15.984515,10
KMI,2021,-15.043398,5.4494905,2
KO,2021,16.207457,19.479809,-1
KR,2021,14.906498,18.2404,-1
L,2021,12.493654,16.867641,-1
LDOS,2021,14.629876,19.947582,18
LEN,2021,11.978213,17.031548,7
LH,2021,13.466613,17.408573,-1
LHX,2021,13.40696,17.546762,12
LII,2021,12.495979,15.433132,8
LIN,2021,11.856498,15.184243,8
LITE,2021,14.786998,17.446653,1
LLY,2021,14.297962,19.30477,-1
LMT,2021,12.873224,15.582014,8
LNT,2021,11.019714,17.902761,4
LOW,2021,15.421415,19.458107,-1
LRCX,2021,15.524108,19.660057,16
LULU,2021,15.55087,19.402834,16
LUV,2021,11.778235,18.755407,-1
LVS,2021,11.904167,16.524399,-1
LYB,2021,-14.663924,5.5742044,3
LYV,2021,11.335537,18.377628,-1
