ticker,year,x,y,cluster
A,2023,-2.086627,9.072077,-1
AAPL,2023,-5.181617,7.3088484,16
ABBV,2023,-1.6347053,9.704329,12
ABNB,2023,-1.1333541,3.435937,2
ABT,2023,-2.1315901,9.675141,11
ACGL,2023,-5.5827675,3.7199934,18
ACN,2023,-5.3259993,5.163465,20
ADBE,2023,-4.6771674,6.764929,19
ADI,2023,-1.2297151,2.2174735,-1
ADM,2023,-3.7304225,8.918373,-1
ADP,2023,-5.269087,5.2640815,20
ADSK,2023,-3.9320545,7.009289,14
AEE,2023,-0.4598182,7.166618,5
AEP,2023,-0.46111444,7.2247467,5
AES,2023,-0.63474995,6.9710245,5
AFL,2023,-5.790585,4.0549183,18
AIG,2023,-5.765238,4.081173,18
AIZ,2023,-0.33872762,2.3746755,7
AJG,2023,-5.905523,4.020993,18
AKAM,2023,-4.4034753,6.8916883,19
ALB,2023,-3.4106052,8.681556,-1
ALGN,2023,-1.7009437,9.758874,12
ALL,2023,0.1854282,9.002327,1
ALLE,2023,-3.5515137,7.3208957,15
AMAT,2023,25.160124,9.901905,0
AMCR,2023,-3.630139,8.953337,21
AMD,2023,-4.179411,6.720323,19
AME,2023,-2.6860743,8.009835,15
AMGN,2023,0.40358353,9.072374,1
AMP,2023,-5.1839995,4.390101,17
AMT,2023,-3.6661358,5.4185166,-1
AMZN,2023,-5.1790786,7.551162,16
ANET,2023,-4.2356377,6.7672563,19
AON,2023,-5.474997,4.854609,20
AOS,2023,-3.0174541,8.7628355,-1
APA,2023,24.927755,9.855375,0
APD,2023,-2.082361,7.7665567,15
APH,2023,0.560343,8.995677,1
APO,2023,-0.31377435,2.5326188,7
APP,2023,-4.6872926,6.9650364,19
APTV,2023,-3.46742,7.3704243,-1
ARE,2023,-0.37494045,2.918927,-1
ARES,2023,-0.19833322,2.4483078,7
ATO,2023,-0.42567778,7.0064297,5
AVB,2023,-0.24415894,2.3952067,7
AVGO,2023,-3.8935976,6.6980786,19
AVY,2023,-3.5040174,8.782155,21
AWK,2023,-0.65703225,1.6874094,8
AXON,2023,-0.25868806,2.2514467,7
AXP,2023,-5.137663,5.9363933,20
AZO,2023,0.2554941,8.906531,1
BA,2023,-3.3455524,8.125859,13
BAC,2023,-4.4090214,3.6603408,3
BALL,2023,-3.735869,8.799256,21
BAX,2023,-2.103472,9.934061,11
BBY,2023,-5.0631776,8.78219,22
BDX,2023,-2.0877619,9.634314,11
BEN,2023,-5.0685225,4.4860625,17
BF-B,2023,-0.40645435,1.8828706,8
BG,2023,-0.2664875,2.0090787,8
BIIB,2023,-1.254974,3.1094587,2
BK,2023,-4.4998083,3.5379305,3
BKNG,2023,-4.649896,8.228347,-1
BKR,2023,-2.2017124,7.4418945,15
BLDR,2023,-3.0717428,7.7665243,15
BMY,2023,0.50006247,9.211599,1
BR,2023,-5.1017556,4.9877,20
BRK-B,2023,-6.064763,3.811892,18
BRO,2023,-5.9872828,3.90303,18
BSX,2023,-1.9798242,9.800631,11
BX,2023,-0.028030714,2.5274034,7
BXP,2023,-3.165532,5.0385423,6
C,2023,24.983553,9.824041,0
CAG,2023,-4.0555267,9.232161,21
CAH,2023,25.062569,9.873196,0
CARR,2023,-3.386402,7.6628838,15
CASY,2023,-5.1479945,9.256719,22
CAT,2023,-3.3647528,7.7068806,15
CB,2023,-6.0333376,3.8756804,18
CBOE,2023,-4.556533,5.814903,-1
CBRE,2023,-3.5935807,4.958455,6
CCI,2023,-1.2543681,2.84868,2
CCL,2023,-4.5274415,8.826375,-1
CDNS,2023,-3.4862452,6.7409143,14
CDW,2023,-3.9859474,7.0988073,-1
CEG,2023,-0.71815914,7.134815,5
CF,2023,-2.380772,7.7511387,-1
CFG,2023,-4.250859,3.7241924,3
CHD,2023,25.066721,9.866079,0
CHRW,2023,-4.2292295,7.798416,9
CHTR,2023,-5.514382,6.6132817,16
CI,2023,0.3058373,8.77366,1
CIEN,2023,-4.1943965,6.7084374,19
CINF,2023,-6.0087943,3.8754964,18
CL,2023,-3.9123461,8.832585,21
CLX,2023,-4.0691934,8.988924,21
CMCSA,2023,-5.658984,6.7500467,16
CME,2023,-4.6415462,5.8730035,-1
CMG,2023,-4.29413,9.3735,21
CMI,2023,-2.8211567,7.8755236,-1
CMS,2023,-0.7459602,7.1141644,5
CNC,2023,-2.1168377,10.405755,10
CNP,2023,-0.6776256,6.9855933,5
COF,2023,0.4686362,8.9164,1
COHR,2023,-3.1480362,7.1257567,14
COIN,2023,-4.7357655,6.3316727,-1
COO,2023,-2.300608,9.758735,-1
COP,2023,25.29611,9.652361,0
COR,2023,-2.184321,9.609096,11
COST,2023,-5.18493,9.208081,22
CPAY,2023,-5.1111217,5.9377184,-1
CPB,2023,-3.9326813,9.138314,21
CPRT,2023,0.6298968,9.075763,1
CPT,2023,-3.4876492,5.3074856,6
