ticker,year,cluster,is_noise,theme_label
AAPL,2019,-1,True,noise
ABBV,2019,5,False,"ABBV, JNJ, LLY"
ABT,2019,-1,True,noise
ACN,2019,-1,True,noise
ADBE,2019,13,False,"ADBE, CRM, MSFT, ORCL"
AMD,2019,14,False,"AMD, NVDA"
AMZN,2019,8,False,"AMZN, DIS, NFLX"
AVGO,2019,15,False,"AVGO, TSLA"
BAC,2019,1,False,"BAC, BRK-B, GS, JPM, SPGI"
BRK-B,2019,1,False,"BAC, BRK-B, GS, JPM, SPGI"
COST,2019,9,False,"COST, WMT"
CRM,2019,13,False,"ADBE, CRM, MSFT, ORCL"
CSCO,2019,3,False,"CSCO, NEE"
CVX,2019,7,False,"CVX, XOM"
DIS,2019,8,False,"AMZN, DIS, NFLX"
GE,2019,2,False,"GE, MCD"
GOOGL,2019,-1,True,noise
GS,2019,1,False,"BAC, BRK-B, GS, JPM, SPGI"
HD,2019,10,False,"HD, INTU, MS"
IBM,2019,-1,True,noise
INTU,2019,10,False,"HD, INTU, MS"
JNJ,2019,5,False,"ABBV, JNJ, LLY"
JPM,2019,1,False,"BAC, BRK-B, GS, JPM, SPGI"
KO,2019,0,False,"KO, MA"
LIN,2019,12,False,"LIN, RTX, TMO"
LLY,2019,5,False,"ABBV, JNJ, LLY"
MA,2019,0,False,"KO, MA"
MCD,2019,2,False,"GE, MCD"
META,2019,-1,True,noise
MRK,2019,6,False,"MRK, UNH"
MS,2019,10,False,"HD, INTU, MS"
MSFT,2019,13,False,"ADBE, CRM, MSFT, ORCL"
NEE,2019,3,False,"CSCO, NEE"
NFLX,2019,8,False,"AMZN, DIS, NFLX"
NVDA,2019,14,False,"AMD, NVDA"
ORCL,2019,13,False,"ADBE, CRM, MSFT, ORCL"
PEP,2019,4,False,"PEP, V"
PG,2019,11,False,"PG, PM"
PM,2019,11,False,"PG, PM"
QCOM,2019,-1,True,noise
RTX,2019,12,False,"LIN, RTX, TMO"
SPGI,2019,1,False,"BAC, BRK-B, GS, JPM, SPGI"
TMO,2019,12,False,"LIN, RTX, TMO"
TSLA,2019,15,False,"AVGO, TSLA"
TXN,2019,-1,True,noise
UNH,2019,6,False,"MRK, UNH"
V,2019,4,False,"PEP, V"
WFC,2019,1,False,"BAC, BRK-B, GS, JPM, SPGI"
WMT,2019,9,False,"COST, WMT"
XOM,2019,7,False,"CVX, XOM"
