ticker,year,x,y,cluster
AAPL,2019,8.017989,12.318126,-1
ABBV,2019,5.9735327,11.710425,5
ABT,2019,5.6861463,11.974674,-1
ACN,2019,7.9137034,12.868222,-1
ADBE,2019,8.719221,13.023717,13
AMD,2019,7.8219986,13.408704,14
AMZN,2019,8.454928,12.071598,8
AVGO,2019,7.5107117,13.188368,15
BAC,2019,6.6557474,10.534331,1
BRK-B,2019,6.2264786,10.706966,1
COST,2019,8.133778,11.253564,9
CRM,2019,8.352361,13.004415,13
CSCO,2019,9.307899,8.538183,3
CVX,2019,6.962132,12.195039,7
DIS,2019,8.800007,11.826427,8
GE,2019,8.344752,8.682022,2
GOOGL,2019,8.860789,12.414712,-1
GS,2019,7.0395026,10.166003,1
HD,2019,8.3454,12.567962,10
IBM,2019,8.27662,13.489689,-1
INTU,2019,8.658384,12.689008,10
JNJ,2019,6.053722,11.510589,5
JPM,2019,6.801677,10.326689,1
KO,2019,8.888434,8.877594,0
LIN,2019,6.53808,12.753376,12
LLY,2019,6.007362,11.670415,5
MA,2019,8.661167,9.152303,0
MCD,2019,8.47008,8.316178,2
META,2019,7.6787295,11.97314,-1
MRK,2019,5.66468,12.013499,6
MS,2019,9.232016,12.456353,10
MSFT,2019,8.950002,13.226379,13
NEE,2019,8.8775835,8.3469715,3
NFLX,2019,8.542558,11.520797,8
NVDA,2019,7.9734664,13.758112,14
ORCL,2019,8.655519,13.46686,13
PEP,2019,8.8278675,8.542701,4
PG,2019,7.244748,11.608246,11
PM,2019,6.8716397,11.394993,11
QCOM,2019,9.176139,8.741843,-1
RTX,2019,6.7650833,12.415873,12
SPGI,2019,7.288973,10.83603,1
TMO,2019,6.5889435,13.143205,12
TSLA,2019,7.197472,13.473922,15
TXN,2019,7.14126,12.814236,-1
UNH,2019,5.3900595,11.707574,6
V,2019,8.982737,8.419248,4
WFC,2019,6.4148607,10.309197,1
WMT,2019,8.130636,10.816864,9
XOM,2019,6.796944,11.898156,7
