ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,best_theme,best_score
AAPL,2019,0.019263958644507244,0.02257064061664314,0.04031748671470572,0.04942129420075309,0.03484093538703366,0.03337132576614842,0.0848535100510545,0.06400677579293537,0.05678317225721181,0.09441772042336555,0.08444958941339331,0.046124394236745414,0.05194086905731516,0.055981331001789966,theme_9,0.09441772042336555
ABBV,2019,0.015490013503647489,0.018214752476087902,0.0420417671723058,0.050029490905237846,0.1788371544413276,0.14268502473751002,0.03238738460061891,0.030453751760745218,0.055986139643855064,0.028496927125619787,0.033952890221369596,0.058900808445414815,0.028986694513843135,0.03361585469898599,theme_4,0.1788371544413276
ABT,2019,1.2943628178549483e-308,1.503913359617669e-308,3.1007607736973e-308,3.8835931483308997e-308,1.5590069508085449e-307,1.0,2.662529892385425e-308,2.468850141255923e-308,4.578364189110503e-308,2.4568614263370823e-308,2.899565903479842e-308,5.450256186752059e-308,2.7004768751387865e-308,3.140096530532824e-308,theme_5,1.0
ACN,2019,1.8995294281932046e-308,2.2225024458929017e-308,4.032784492237558e-308,4.654272322524807e-308,2.9992794772082965e-308,3.0348858562009843e-308,1.0,6.756571588699593e-308,4.674739083644254e-308,8.67683858903299e-308,7.14781738832456e-308,4.752683179083622e-308,6.224283787736186e-308,7.460273693632041e-308,theme_6,1.0
ADBE,2019,1.62210621576393e-308,1.7989997834883743e-308,2.682582396571922e-308,3.468849791180877e-308,2.543208813105787e-308,2.5860797699066217e-308,6.782132261146244e-308,4.0599856389694304e-308,4.320750434919549e-308,1.0,1.1359674914565682e-307,4.199776187071167e-308,9.314917374695254e-308,7.554637999240803e-308,theme_9,1.0
AMD,2019,1.3286257293484584e-308,1.478442498796906e-308,2.272499487881558e-308,3.007782365119088e-308,2.4249629904136404e-308,2.6694087903150773e-308,4.900555916983837e-308,2.8412791908530753e-308,3.932650085780928e-308,7.110992150828021e-308,6.331192827363293e-308,5.129005262496027e-308,1.0,1.3987022124784261e-307,theme_12,1.0
AMZN,2019,2.1982427494706764e-308,2.640647243935843e-308,4.832974179514313e-308,5.606275811157469e-308,3.1872974845657175e-308,3.0622801593268697e-308,1.0,1.2886779171146906e-307,5.108361324302961e-308,6.852443046735387e-308,7.223770425200952e-308,4.707988632590899e-308,4.590544039467982e-308,5.340156578345666e-308,theme_6,1.0
AVGO,2019,1.3903307507101045e-308,1.5687010241235127e-308,2.6333493296004867e-308,3.5192133451355073e-308,2.7087946088500683e-308,2.9830622441573543e-308,6.292073944480393e-308,3.2048111114154866e-308,4.769524569856497e-308,6.79045028851791e-308,7.436646836929957e-308,6.403316887534076e-308,1.3956739866685168e-307,1.0,theme_13,1.0
BAC,2019,2.1118562076034315e-308,2.726099144400928e-308,1.0,5.098565103698543e-308,3.6796765223127666e-308,3.153599025453226e-308,4.3713005917198225e-308,4.642585745456621e-308,3.7805969948927214e-308,2.809895492899585e-308,3.0338159213219754e-308,3.298099397774729e-308,2.331323614082097e-308,2.7041730524109453e-308,theme_2,1.0
BRK-B,2019,0.025643681406262657,0.03166872160337374,0.17348981248407358,0.0719866684379976,0.07910565048170114,0.06242733444435346,0.05022942916901129,0.05035539739953503,0.059468316644663,0.037211846612277485,0.04201293718854481,0.053365009421653724,0.033593803671621014,0.03880956057342682,theme_2,0.17348981248407358
COST,2019,2.671358195758361e-308,3.368078563393768e-308,5.128941798999798e-308,5.882566958072659e-308,3.0891676494731073e-308,2.837086579828373e-308,1.2874846375262292e-307,1.0,4.613622601625285e-308,4.720051432269397e-308,5.313171744428808e-308,3.9584357786679373e-308,3.424688074331582e-308,3.796396710535528e-308,theme_7,1.0
CRM,2019,1.694397152726853e-308,1.899566092960503e-308,2.931432818322515e-308,3.6955071349020893e-308,2.611454691420235e-308,2.644407182154263e-308,8.080577788008128e-308,4.399663077893971e-308,4.3027431039994597e-308,1.0,9.833508593813406e-308,4.212071415722319e-308,7.836379007150868e-308,7.360012454638354e-308,theme_9,1.0
CSCO,2019,0.43424047571829466,0.1473727708416945,0.03950133379172181,0.035137102803292325,0.027773849751581293,0.025722300244247796,0.03993493898086187,0.053953058617891465,0.03109089319500264,0.03256564139067714,0.03265680432417009,0.027867157078761903,0.02749187045048391,0.027809794584939346,theme_0,0.43424047571829466
CVX,2019,1.7243150103987775e-308,2.0441015478011185e-308,4.205546762755867e-308,1.0,4.307936438100233e-308,3.990450519534117e-308,5.022024733844119e-308,4.830289798882825e-308,6.696661117103771e-308,3.53407811246339e-308,4.711257063260533e-308,7.447231851762432e-308,3.1253436212297826e-308,3.738424115202507e-308,theme_3,1.0
