ticker,year,cluster,is_noise,theme_label
AAPL,2019,-1,True,noise
ABBV,2019,4,False,"ABBV, JNJ, MRK"
ABT,2019,5,False,"ABT, UNH"
ACN,2019,6,False,"ACN, AMZN"
ADBE,2019,9,False,"ADBE, CRM, GOOGL, MSFT, ORCL"
AMD,2019,12,False,"AMD, NVDA"
AMZN,2019,6,False,"ACN, AMZN"
AVGO,2019,13,False,"AVGO, TSLA"
BAC,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
BRK-B,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
COST,2019,7,False,"COST, NFLX"
CRM,2019,9,False,"ADBE, CRM, GOOGL, MSFT, ORCL"
CSCO,2019,0,False,"CSCO, KO, MA, NEE, PEP"
CVX,2019,3,False,"CVX, XOM"
DIS,2019,-1,True,noise
GE,2019,1,False,"GE, MCD"
GOOGL,2019,9,False,"ADBE, CRM, GOOGL, MSFT, ORCL"
GS,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
HD,2019,10,False,"HD, INTU, MS"
IBM,2019,-1,True,noise
INTU,2019,10,False,"HD, INTU, MS"
JNJ,2019,4,False,"ABBV, JNJ, MRK"
JPM,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
KO,2019,0,False,"CSCO, KO, MA, NEE, PEP"
LIN,2019,11,False,"LIN, TMO"
LLY,2019,-1,True,noise
MA,2019,0,False,"CSCO, KO, MA, NEE, PEP"
MCD,2019,1,False,"GE, MCD"
META,2019,-1,True,noise
MRK,2019,4,False,"ABBV, JNJ, MRK"
MS,2019,10,False,"HD, INTU, MS"
MSFT,2019,9,False,"ADBE, CRM, GOOGL, MSFT, ORCL"
NEE,2019,0,False,"CSCO, KO, MA, NEE, PEP"
NFLX,2019,7,False,"COST, NFLX"
NVDA,2019,12,False,"AMD, NVDA"
ORCL,2019,9,False,"ADBE, CRM, GOOGL, MSFT, ORCL"
PEP,2019,0,False,"CSCO, KO, MA, NEE, PEP"
PG,2019,8,False,"PG, PM, RTX"
PM,2019,8,False,"PG, PM, RTX"
QCOM,2019,0,False,"CSCO, KO, MA, NEE, PEP"
RTX,2019,8,False,"PG, PM, RTX"
SPGI,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
TMO,2019,11,False,"LIN, TMO"
TSLA,2019,13,False,"AVGO, TSLA"
TXN,2019,-1,True,noise
UNH,2019,5,False,"ABT, UNH"
V,2019,0,False,"CSCO, KO, MA, NEE, PEP"
WFC,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
WMT,2019,0,False,"CSCO, KO, MA, NEE, PEP"
XOM,2019,3,False,"CVX, XOM"
