ticker,year,x,y,cluster
AAPL,2019,15.284951,14.093091,-1
ABBV,2019,12.956412,15.2992325,4
ABT,2019,12.60675,14.77017,5
ACN,2019,15.274777,14.680267,6
ADBE,2019,15.743483,14.7235155,9
AMD,2019,15.855035,15.5991745,12
AMZN,2019,14.85503,13.922625,6
AVGO,2019,15.552369,15.480938,13
BAC,2019,13.764371,14.071361,2
BRK-B,2019,13.213127,14.207567,2
COST,2019,14.704404,13.443364,7
CRM,2019,16.023537,14.4046,9
CSCO,2019,13.919332,11.3512125,0
CVX,2019,13.755252,15.640873,3
DIS,2019,15.456544,13.5991125,-1
GE,2019,14.13592,12.042187,1
GOOGL,2019,16.217163,14.115857,9
GS,2019,13.510362,13.26427,2
HD,2019,14.747396,14.782792,10
IBM,2019,15.947257,15.037223,-1
INTU,2019,15.036256,14.991772,10
JNJ,2019,12.859905,14.933804,4
JPM,2019,13.748969,13.69706,2
KO,2019,14.188084,11.106164,0
LIN,2019,14.213383,15.880806,11
LLY,2019,12.517554,15.455535,-1
MA,2019,14.292057,11.532158,0
MCD,2019,13.832183,12.146219,1
META,2019,15.819364,14.30515,-1
MRK,2019,12.367844,15.195857,4
MS,2019,14.7420225,14.479968,10
MSFT,2019,16.271925,14.825871,9
NEE,2019,13.938907,11.103781,0
NFLX,2019,15.044743,13.180338,7
NVDA,2019,16.218065,15.384405,12
ORCL,2019,16.57539,14.450523,9
PEP,2019,13.70433,11.711706,0
PG,2019,14.174589,14.952509,8
PM,2019,13.593224,14.802923,8
QCOM,2019,14.404224,11.120143,0
RTX,2019,14.354037,15.201227,8
SPGI,2019,14.183246,14.204156,2
TMO,2019,14.425198,15.878603,11
TSLA,2019,15.384197,15.746317,13
TXN,2019,14.998404,15.603561,-1
UNH,2019,12.361709,14.763057,5
V,2019,13.673021,11.370295,0
WFC,2019,13.427332,13.891839,2
WMT,2019,13.941124,10.875788,0
XOM,2019,13.765299,15.377996,3
