ticker,year,x,y,cluster
AAPL,2019,11.665769,8.091838,-1
ABBV,2019,13.624547,7.293026,5
ABT,2019,14.208355,7.2677603,6
ACN,2019,12.03596,8.745809,-1
ADBE,2019,11.429232,8.889705,10
AMD,2019,11.802154,9.571865,12
AMZN,2019,11.400412,7.908165,-1
AVGO,2019,12.546337,9.093313,13
BAC,2019,12.2646265,6.3134847,3
BRK-B,2019,12.77881,6.3660707,4
COST,2019,11.654354,7.401599,7
CRM,2019,11.648108,8.460029,10
CSCO,2019,8.46923,6.6272864,0
CVX,2019,13.047539,7.792915,2
DIS,2019,10.975301,8.042627,11
GE,2019,8.642358,6.844359,1
GOOGL,2019,11.083158,8.623282,10
GS,2019,12.10057,6.1643267,3
HD,2019,12.28476,8.000693,8
IBM,2019,12.100822,9.205921,-1
INTU,2019,12.09126,8.3709755,10
JNJ,2019,13.871912,6.743139,5
JPM,2019,11.953741,6.3599653,3
KO,2019,8.249176,7.244028,0
LIN,2019,13.465526,8.414662,9
LLY,2019,13.738362,7.128161,5
MA,2019,8.2633095,6.727958,0
MCD,2019,8.529402,7.235252,1
META,2019,10.789068,8.486089,-1
MRK,2019,14.15014,6.9159184,5
MS,2019,12.05861,7.7815466,8
MSFT,2019,11.660052,8.937383,10
NEE,2019,8.0477915,7.049339,0
NFLX,2019,11.0408,7.546771,11
NVDA,2019,11.614369,9.503961,12
ORCL,2019,11.253536,9.247699,10
PEP,2019,8.090687,6.92953,0
PG,2019,12.629473,7.5972357,9
PM,2019,12.929206,7.177533,-1
QCOM,2019,8.929599,7.0266023,0
RTX,2019,13.10111,8.401396,9
SPGI,2019,11.972487,6.763944,-1
TMO,2019,13.375558,8.805155,9
TSLA,2019,12.855743,9.370576,13
TXN,2019,12.833184,8.751177,-1
UNH,2019,14.381681,6.932915,6
V,2019,7.80246,6.857128,0
WFC,2019,12.502592,6.0382624,4
WMT,2019,11.527386,7.081254,7
XOM,2019,13.188857,7.984602,2
