ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,best_theme,best_score
AAPL,2019,0.04233846439418036,0.03648985063487355,0.06647465527908188,0.03779266016367564,0.03343297551743916,0.03226686341278485,0.0776334912802921,0.02937981337959059,0.02765709232126127,0.02178660367439946,0.024406445466567978,0.030972092493683403,0.019798043695858535,0.022376943612781218,0.05744881636747724,0.03662634294873518,theme_6,0.0776334912802921
ABBV,2019,3.2438369440202776e-308,5.144946414483189e-308,3.3166307059938027e-308,4.457034246637999e-308,3.5064893863551286e-308,3.067582954924734e-308,4.062830747152381e-308,3.9501674397003343e-308,3.310703767074898e-308,3.6644847072834493e-308,1.0,1.1433451272044118e-307,7.188704346112177e-308,5.102389258717064e-308,2.6026477059809103e-308,2.630513155528408e-308,theme_10,1.0
ABT,2019,3.3922333343655215e-308,4.339766948129262e-308,3.0782011005562923e-308,4.215338463274891e-308,5.385814637304422e-308,4.176563164971264e-308,3.6708488824660384e-308,5.306915629269364e-308,4.790308702514534e-308,7.036179905882783e-308,7.882452377693373e-308,5.530221012325489e-308,1.0,1.2092822018839038e-307,2.414658203667924e-308,2.414546196762146e-308,theme_12,1.0
ACN,2019,0.0414161346701253,0.03680981229169727,0.056531322707571906,0.03896632539362438,0.03363048673795865,0.031209816188082412,0.05030935148930625,0.031120341776830304,0.027101569404668537,0.022980892187150576,0.02703602306162824,0.03289197328644745,0.021961359380021327,0.02480601168215128,0.1390734687226862,0.1310672773700292,theme_14,0.1390734687226862
ADBE,2019,3.8825668372122715e-308,3.3975671678110536e-308,4.868606138674839e-308,3.7395507649107283e-308,2.8987826751201115e-308,2.7484943984634607e-308,3.976467214250338e-308,2.875921633890207e-308,2.434053055007127e-308,2.1395772754343737e-308,2.619847598039592e-308,3.133860878415465e-308,2.1434536501388536e-308,2.3711650391604095e-308,9.172420024704416e-308,1.0,theme_15,1.0
AMD,2019,0.050796309276696455,0.03890023684196086,0.07241329396809264,0.0437294748105518,0.03811771738659212,0.039361055057690046,0.06652033950070045,0.035762235513715296,0.03271393772701548,0.02626006216488061,0.02876670685120708,0.03517085122828984,0.023953521582732253,0.026462716448561574,0.16405003603501647,0.07265418374157259,theme_14,0.16405003603501647
AMZN,2019,5.878203890842145e-308,4.802720464610605e-308,4.805742419755394e-308,5.027893867481265e-308,1.0,1.4441322201345338e-307,6.035723212987983e-308,7.527351789147414e-308,1.0033791131365627e-307,7.341396231148692e-308,3.926659566086867e-308,3.793603154535322e-308,4.604493923363711e-308,5.987250862171179e-308,3.9494176569467684e-308,3.670653223617543e-308,theme_4,1.0
AVGO,2019,0.051018851601370895,0.05045459657898209,0.05750587380211299,0.04978163024065017,0.0961551532525159,0.08132917569683497,0.08017549824952777,0.05942402920970241,0.05442332639911508,0.040354532474227274,0.033271422062403036,0.03532453387386504,0.033226017864923026,0.039924756268053765,0.044568059615769796,0.038489666675313235,theme_4,0.0961551532525159
BAC,2019,5.946068757823141e-308,4.420983828561852e-308,3.982202312115134e-308,4.451104490967469e-308,9.079283831946124e-308,1.0855224694967184e-307,4.4163239208950494e-308,8.718639049518513e-308,1.0,1.2636385554658673e-307,3.616995601858633e-308,3.560332122000852e-308,4.626195707358061e-308,5.640914297045847e-308,3.079464100518217e-308,2.7574528228438024e-308,theme_8,1.0
BRK-B,2019,0.03916413394260516,0.06682779824699055,0.03376534879855184,0.03301625735098534,0.03214508076801385,0.028250001967400174,0.049840559199143444,0.032591295817073866,0.0335120513397095,0.028749552277753956,0.03788308279104595,0.05851404835418818,0.03044932142664816,0.03081964828211451,0.027313389907916954,0.024082160105743888,theme_1,0.06682779824699055
