ticker,year,theme_0,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,best_theme,best_score
AAPL,2019,3.5728041665591225e-308,3.132898654304628e-308,4.837747208138633e-308,9.471894955825029e-308,7.118508821601669e-308,4.697768941953984e-308,5.50959299085622e-308,4.3350515013746193e-308,3.900006861503713e-308,5.590381059218053e-308,6.969500227828549e-308,1.0,1.256036247758837e-307,8.060229457155014e-308,1.0138052784224547e-307,8.656210440017795e-308,1.2456234717749327e-307,theme_11,1.0
ABBV,2019,1.954794154373122e-308,1.8116567668557333e-308,4.251199063005282e-308,2.706310522229397e-308,2.7626585905214246e-308,2.349816597655867e-308,9.39319030668001e-308,1.0,1.8800468506706136e-307,7.213592981769569e-308,1.1419464081375995e-307,3.932196388128137e-308,3.444418008818084e-308,3.608864650940465e-308,3.2243540588509203e-308,3.1125586375568906e-308,3.0601618368068866e-308,theme_7,1.0
ABT,2019,0.017782418258885015,0.01652565570023334,0.0359389503234003,0.02420778742344013,0.024680461121597216,0.021068875129692553,0.0763665760349786,0.1951297210768284,0.22144785846774395,0.0647542253501507,0.07152824979681564,0.03435103089364526,0.030039090947040655,0.03393730858179833,0.029128162753017887,0.02899773087413671,0.027599578392232507,theme_8,0.22144785846774395
ACN,2019,0.028563395735768736,0.02490092715644233,0.03589447710158415,0.07465546108772694,0.06735133753413838,0.038921101122276,0.037709800472755704,0.029056218659734255,0.02535935845863801,0.0420658252909824,0.04256596777045661,0.07423180978854625,0.07892421046960492,0.07543788494930549,0.09493063007435008,0.07537726739475818,0.0743663065835985,theme_14,0.09493063007435008
ADBE,2019,2.7852212226224105e-308,2.483822805877045e-308,3.1975320055941233e-308,6.923317634891593e-308,4.919531138770189e-308,3.3362902821299275e-308,3.618995322214091e-308,3.059921507089482e-308,2.7689846180118816e-308,4.529821246371597e-308,4.2624368057580674e-308,7.856390861405732e-308,1.0478366209321294e-307,8.904492554445989e-308,1.0,1.5954497539276555e-307,1.6422604614274401e-307,theme_14,1.0
AMD,2019,2.4685516513912247e-308,2.213560931294697e-308,2.8639265624604937e-308,5.724494320569004e-308,4.568926930238057e-308,3.035507814737986e-308,3.767843249450946e-308,3.0362687513849847e-308,2.756584563983924e-308,5.212915254138779e-308,4.0503217460852564e-308,7.320285289238597e-308,8.087623639295067e-308,1.4900609872941136e-307,1.1781645083077834e-307,1.0,1.265978064238944e-307,theme_15,1.0
AMZN,2019,4.0938332568282823e-308,3.6373381029256753e-308,3.818167232716574e-308,8.32189636651729e-308,1.0,9.264878934798932e-308,3.6488193883289024e-308,2.652687133805614e-308,2.3912620899382196e-308,3.444987819632995e-308,3.767072901445409e-308,6.039851173815321e-308,6.859284924960145e-308,4.5450799785512855e-308,4.624617783585753e-308,4.490375867633426e-308,4.958386485154159e-308,theme_4,1.0
AVGO,2019,2.190466572407824e-308,1.993513906722446e-308,2.80704134200834e-308,4.3961082569827316e-308,4.292923494522996e-308,2.8040839198579e-308,4.496295831748527e-308,3.295094631167365e-308,2.906504954865088e-308,7.254022048265499e-308,4.536471874974528e-308,6.136356423021579e-308,7.185895928914009e-308,1.0,7.459046638163675e-308,1.2050915126920267e-307,7.21014837068444e-308,theme_13,1.0
BAC,2019,0.027800354162204253,0.024920409157528214,0.26934314398782255,0.03572030066255904,0.037120522078596646,0.03394676257984152,0.04954016914599181,0.05249397227539228,0.04321407091596949,0.04268118835275715,0.07461054345010497,0.04522476300546377,0.038981071095081525,0.034076528830491074,0.03582031182969278,0.03143093908597707,0.035356865204848056,theme_2,0.26934314398782255
BRK-B,2019,0.025316611396833066,0.02307852671990939,0.11978093805914194,0.03266491732642205,0.03352670018094564,0.03019546936089913,0.06180107609796924,0.08417761932360694,0.06541393225823529,0.05001201299576547,0.0966082258948183,0.04361858284966925,0.037231316178263744,0.03541202620601284,0.0352660761795468,0.03197038744831613,0.03438366514154275,theme_2,0.11978093805914194
COST,2019,4.91324399155715e-308,4.3906783257547357e-308,3.9491370956021445e-308,8.086489391103153e-308,1.0,1.5023107340632804e-307,3.295721557964992e-308,2.492825041106773e-308,2.266863912168551e-308,3.04386902847515e-308,3.442388701278912e-308,5.163851422091901e-308,5.612871243557113e-308,3.711122043829458e-308,3.954108093493876e-308,3.7164130876461686e-308,4.3034767248144555e-308,theme_4,1.0
CRM,2019,2.7967784667625e-308,2.5276411100265383e-308,3.4068491644512424e-308,6.711541256485987e-308,4.900425808178428e-308,3.3407675862742375e-308,3.835026874296472e-308,3.277888925274183e-308,2.950968705410969e-308,4.822620289172993e-308,4.742529984164565e-308,9.052324754383508e-308,1.263865941916163e-307,8.853151646848861e-308,1.0,1.2372051478830019e-307,1.6185173641017047e-307,theme_14,1.0
CSCO,2019,0.20937208915046035,0.15271489189080978,0.029016442734848907,0.05993790249736655,0.04450348413991661,0.06327559005625448,0.01969867883910916,0.01748177395069813,0.016608477345459133,0.0186024337702586,0.021004736129763106,0.027739513038682762,0.026010079717325815,0.021017838941160702,0.023894296276805324,0.02231924221611722,0.027180471129673808,theme_0,0.20937208915046035
CVX,2019,2.103102116285645e-308,1.975545030041555e-308,3.821986701747197e-308,3.1440534100964227e-308,3.6274955576084225e-308,2.802537170169396e-308,1.0,6.996995983422398e-308,5.326107983253159e-308,1.5486318986728973e-307,1.1916849092753714e-307,4.689944652772877e-308,4.834153881907617e-308,4.700790708725154e-308,3.601059013165957e-308,3.687087923259077e-308,3.3228601565625996e-308,theme_6,1.0
