ticker,year,cluster,is_noise,theme_label
A,2021,11,False,"A, ADI, ANET, APP, CCI"
AAPL,2021,-1,True,noise
ABBV,2021,4,False,"ABBV, ABT, ALGN, BDX, BIIB"
ABNB,2021,-1,True,noise
ABT,2021,4,False,"ABBV, ABT, ALGN, BDX, BIIB"
ACGL,2021,-1,True,noise
ACN,2021,-1,True,noise
ADBE,2021,15,False,"ADBE, ADSK, BKNG, DIS, FISV"
ADI,2021,11,False,"A, ADI, ANET, APP, CCI"
ADM,2021,-1,True,noise
ADP,2021,8,False,"ADP, AXP, BA, CARR, CAT"
ADSK,2021,15,False,"ADBE, ADSK, BKNG, DIS, FISV"
AEE,2021,1,False,"AEE, ALL, AMGN, APH, AZO"
AEP,2021,10,False,"AEP, AES, ARE, ATO, CEG"
AES,2021,10,False,"AEP, AES, ARE, ATO, CEG"
AFL,2021,14,False,"AFL, BLDR, BRO, BX, CLX"
AIG,2021,-1,True,noise
AIZ,2021,13,False,"AIZ, ARES, AVB, AWK, BF-B"
AJG,2021,5,False,"AJG, AME, AMP, AVY, BAC"
AKAM,2021,12,False,"AKAM, AXON, BEN, CDW, CNC"
ALB,2021,-1,True,noise
ALGN,2021,4,False,"ABBV, ABT, ALGN, BDX, BIIB"
ALL,2021,1,False,"AEE, ALL, AMGN, APH, AZO"
ALLE,2021,16,False,"ALLE, APD, APTV, CDNS, CPAY"
AMAT,2021,0,False,"AMAT, APA, C, CAG, CAH"
AMCR,2021,-1,True,noise
AMD,2021,-1,True,noise
AME,2021,5,False,"AJG, AME, AMP, AVY, BAC"
AMGN,2021,1,False,"AEE, ALL, AMGN, APH, AZO"
AMP,2021,5,False,"AJG, AME, AMP, AVY, BAC"
AMT,2021,-1,True,noise
AMZN,2021,7,False,"AMZN, BBY, CMCSA, FOX, FOXA"
ANET,2021,11,False,"A, ADI, ANET, APP, CCI"
AON,2021,-1,True,noise
AOS,2021,6,False,"AOS, CF, EMR, MAS, PNR"
APA,2021,0,False,"AMAT, APA, C, CAG, CAH"
APD,2021,16,False,"ALLE, APD, APTV, CDNS, CPAY"
