ticker,year,cluster,is_noise,theme_label
AAPL,2023,14,False,"AAPL, COST, NEE"
ABBV,2023,7,False,"ABBV, JNJ, MRK, UNH"
ABT,2023,15,False,"ABT, PM, QCOM"
ACN,2023,3,False,"ACN, CRM, KO, META, TMO"
ADBE,2023,5,False,"ADBE, INTU"
AMD,2023,13,False,"AMD, LLY, MA"
AMZN,2023,16,False,"AMZN, AVGO"
AVGO,2023,16,False,"AMZN, AVGO"
BAC,2023,2,False,"BAC, WFC"
BRK-B,2023,1,False,"BRK-B, MS, PG"
COST,2023,14,False,"AAPL, COST, NEE"
CRM,2023,3,False,"ACN, CRM, KO, META, TMO"
CSCO,2023,12,False,"CSCO, GE"
CVX,2023,10,False,"CVX, LIN"
DIS,2023,-1,True,noise
GE,2023,12,False,"CSCO, GE"
GOOGL,2023,-1,True,noise
GS,2023,0,False,"GS, JPM"
HD,2023,4,False,"HD, NFLX"
IBM,2023,8,False,"IBM, ORCL"
INTU,2023,5,False,"ADBE, INTU"
JNJ,2023,7,False,"ABBV, JNJ, MRK, UNH"
JPM,2023,0,False,"GS, JPM"
KO,2023,3,False,"ACN, CRM, KO, META, TMO"
LIN,2023,10,False,"CVX, LIN"
LLY,2023,13,False,"AMD, LLY, MA"
MA,2023,13,False,"AMD, LLY, MA"
MCD,2023,-1,True,noise
META,2023,3,False,"ACN, CRM, KO, META, TMO"
MRK,2023,7,False,"ABBV, JNJ, MRK, UNH"
MS,2023,1,False,"BRK-B, MS, PG"
MSFT,2023,-1,True,noise
NEE,2023,14,False,"AAPL, COST, NEE"
NFLX,2023,4,False,"HD, NFLX"
NVDA,2023,-1,True,noise
ORCL,2023,8,False,"IBM, ORCL"
PEP,2023,-1,True,noise
PG,2023,1,False,"BRK-B, MS, PG"
PM,2023,15,False,"ABT, PM, QCOM"
QCOM,2023,15,False,"ABT, PM, QCOM"
RTX,2023,9,False,"RTX, V"
SPGI,2023,6,False,"SPGI, TSLA, TXN"
TMO,2023,3,False,"ACN, CRM, KO, META, TMO"
TSLA,2023,6,False,"SPGI, TSLA, TXN"
TXN,2023,6,False,"SPGI, TSLA, TXN"
UNH,2023,7,False,"ABBV, JNJ, MRK, UNH"
V,2023,9,False,"RTX, V"
WFC,2023,2,False,"BAC, WFC"
WMT,2023,11,False,"WMT, XOM"
XOM,2023,11,False,"WMT, XOM"
