ticker,year,cluster,is_noise,theme_label
AAPL,2019,11,False,"AAPL, META"
ABBV,2019,7,False,"ABBV, JNJ"
ABT,2019,8,False,"ABT, LLY, MRK, UNH"
ACN,2019,-1,True,noise
ADBE,2019,14,False,"ADBE, CRM"
AMD,2019,15,False,"AMD, NVDA"
AMZN,2019,4,False,"AMZN, COST"
AVGO,2019,13,False,"AVGO, TSLA"
BAC,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
BRK-B,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
COST,2019,4,False,"AMZN, COST"
CRM,2019,14,False,"ADBE, CRM"
CSCO,2019,0,False,"CSCO, KO, MA, PEP, QCOM"
CVX,2019,6,False,"CVX, XOM"
DIS,2019,3,False,"DIS, NFLX"
GE,2019,5,False,"GE, MCD"
GOOGL,2019,16,False,"GOOGL, MSFT, ORCL"
GS,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
HD,2019,12,False,"HD, INTU, MS"
IBM,2019,-1,True,noise
INTU,2019,12,False,"HD, INTU, MS"
JNJ,2019,7,False,"ABBV, JNJ"
JPM,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
KO,2019,0,False,"CSCO, KO, MA, PEP, QCOM"
LIN,2019,9,False,"LIN, TMO"
LLY,2019,8,False,"ABT, LLY, MRK, UNH"
MA,2019,0,False,"CSCO, KO, MA, PEP, QCOM"
MCD,2019,5,False,"GE, MCD"
META,2019,11,False,"AAPL, META"
MRK,2019,8,False,"ABT, LLY, MRK, UNH"
MS,2019,12,False,"HD, INTU, MS"
MSFT,2019,16,False,"GOOGL, MSFT, ORCL"
NEE,2019,1,False,"NEE, WMT"
NFLX,2019,3,False,"DIS, NFLX"
NVDA,2019,15,False,"AMD, NVDA"
ORCL,2019,16,False,"GOOGL, MSFT, ORCL"
PEP,2019,0,False,"CSCO, KO, MA, PEP, QCOM"
PG,2019,10,False,"PG, PM, RTX"
PM,2019,10,False,"PG, PM, RTX"
QCOM,2019,0,False,"CSCO, KO, MA, PEP, QCOM"
RTX,2019,10,False,"PG, PM, RTX"
SPGI,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
TMO,2019,9,False,"LIN, TMO"
TSLA,2019,13,False,"AVGO, TSLA"
TXN,2019,-1,True,noise
UNH,2019,8,False,"ABT, LLY, MRK, UNH"
V,2019,0,False,"CSCO, KO, MA, PEP, QCOM"
WFC,2019,2,False,"BAC, BRK-B, GS, JPM, SPGI"
WMT,2019,1,False,"NEE, WMT"
XOM,2019,6,False,"CVX, XOM"
