method,year,theme_id,n_members,avg_affinity,members
e5,2019,1,2,1.0,"META, WMT"
e5,2019,2,2,1.0,"PG, SPGI"
e5,2019,3,2,1.0,"GS, JPM"
e5,2019,6,2,1.0,"MRK, UNH"
e5,2019,7,2,1.0,"BAC, WFC"
e5,2019,8,2,1.0,"CVX, XOM"
e5,2019,9,2,1.0,"TSLA, TXN"
e5,2019,11,2,1.0,"GOOGL, ORCL"
e5,2019,15,2,1.0,"MA, V"
e5,2019,5,3,0.745,"ABBV, ABT, JNJ"
e5,2019,14,3,0.713,"AAPL, CSCO, DIS"
e5,2019,10,3,0.712,"CRM, IBM, NVDA"
e5,2019,13,3,0.702,"ADBE, AMZN, INTU"
e5,2019,4,3,0.701,"LLY, PM, TMO"
e5,2019,12,4,0.556,"AMD, KO, NEE, PEP"
e5,2019,0,5,0.456,"GE, HD, LIN, MCD, MS"
e5,2021,0,2,1.0,"GS, JPM"
e5,2021,7,2,1.0,"IBM, MSFT"
e5,2021,8,2,1.0,"AAPL, ADBE"
e5,2021,10,2,1.0,"MA, V"
e5,2021,1,3,0.747,"GE, MCD, MS"
e5,2021,13,3,0.712,"DIS, LLY, WMT"
e5,2021,5,3,0.707,"BAC, RTX, WFC"
e5,2021,11,3,0.706,"ACN, NEE, PEP"
e5,2021,4,3,0.694,"CVX, LIN, XOM"
e5,2021,6,4,0.593,"AMZN, INTU, QCOM, TXN"
e5,2021,2,4,0.587,"HD, PG, PM, SPGI"
e5,2021,9,4,0.575,"CRM, GOOGL, NFLX, ORCL"
e5,2021,12,4,0.564,"AMD, COST, KO, NVDA"
e5,2021,3,6,0.435,"ABBV, ABT, JNJ, MRK, TMO, UNH"
e5,2023,0,2,1.0,"GS, JPM"
e5,2023,1,2,1.0,"LLY, TMO"
e5,2023,4,2,1.0,"BAC, WFC"
e5,2023,6,2,1.0,"NVDA, RTX"
e5,2023,7,2,1.0,"MA, V"
e5,2023,10,2,1.0,"META, WMT"
e5,2023,12,2,1.0,"AMD, NEE"
e5,2023,13,2,1.0,"BRK-B, PEP"
e5,2023,8,3,0.709,"IBM, INTU, SPGI"
e5,2023,11,3,0.707,"COST, DIS, KO"
e5,2023,14,3,0.707,"CRM, GOOGL, ORCL"
e5,2023,9,3,0.703,"AAPL, ACN, AVGO"
e5,2023,5,3,0.702,"GE, MCD, MS"
e5,2023,15,3,0.689,"AMZN, QCOM, TXN"
e5,2023,2,5,0.483,"ABBV, ABT, JNJ, MRK, UNH"
e5,2023,3,5,0.476,"CVX, HD, LIN, PM, XOM"
sbert,2019,0,2,1.0,"GS, JPM"
sbert,2019,1,2,1.0,"COST, GOOGL"
sbert,2019,2,2,1.0,"DIS, NVDA"
sbert,2019,4,2,1.0,"AVGO, NFLX"
sbert,2019,6,2,1.0,"BAC, WFC"
sbert,2019,7,2,1.0,"INTU, LIN"
sbert,2019,9,2,1.0,"ABT, JNJ"
sbert,2019,11,2,1.0,"GE, MCD"
sbert,2019,15,2,1.0,"ADBE, META"
sbert,2019,12,3,0.732,"ABBV, TMO, UNH"
sbert,2019,13,3,0.712,"IBM, MRK, PG"
sbert,2019,8,3,0.709,"QCOM, RTX, SPGI"
