ticker,year,x,y,cluster
A,2023,13.564421,18.13349,11
AAPL,2023,11.696733,20.115204,14
ABBV,2023,10.70976,16.596056,3
ABNB,2023,13.0793915,19.109383,-1
ABT,2023,10.775878,16.620552,3
ACGL,2023,12.209727,19.962454,12
ACN,2023,12.3422985,20.193636,14
ADBE,2023,13.17396,19.064268,-1
ADI,2023,13.267589,19.171965,11
ADM,2023,12.030153,16.215002,2
ADP,2023,14.103736,17.906889,11
ADSK,2023,13.061506,18.501078,11
AEE,2023,2.380006,8.55133,0
AEP,2023,9.722337,17.647432,6
AES,2023,10.634309,18.293583,7
AFL,2023,11.214518,20.012577,13
AIG,2023,13.012122,17.920805,-1
AIZ,2023,11.706542,20.098003,-1
AJG,2023,12.140432,17.836655,5
AKAM,2023,12.289113,19.921654,14
ALB,2023,13.183225,17.945793,-1
ALGN,2023,13.50628,18.134945,11
ALL,2023,2.4304786,8.642085,0
ALLE,2023,12.086143,18.795107,8
AMAT,2023,25.709064,-4.2853384,1
AMCR,2023,12.276174,19.184782,-1
AMD,2023,12.812567,19.44801,-1
AME,2023,12.908914,18.342556,-1
AMGN,2023,2.0620625,8.539263,0
AMP,2023,12.454096,18.099024,5
AMT,2023,13.639282,18.83753,-1
AMZN,2023,13.957473,18.637629,-1
ANET,2023,13.787855,18.428562,11
AON,2023,10.237485,18.395306,7
AOS,2023,12.559464,17.225653,-1
APA,2023,25.633102,-4.252011,1
APD,2023,12.782313,19.07312,-1
APH,2023,2.236811,8.367762,0
APO,2023,13.034164,19.324974,12
APP,2023,13.529591,18.948553,11
APTV,2023,12.294501,19.157665,-1
ARE,2023,10.320264,18.691797,-1
ARES,2023,11.249753,19.921047,13
ATO,2023,9.7288885,17.9638,6
AVB,2023,10.846721,19.69918,13
AVGO,2023,12.273518,20.136473,14
AVY,2023,11.675152,19.004072,8
AWK,2023,10.616772,19.93364,13
AXON,2023,11.7905855,20.277617,14
AXP,2023,13.586472,17.19789,10
AZO,2023,2.0817945,8.389801,0
BA,2023,13.43726,17.755281,11
BAC,2023,12.117059,17.838993,5
BALL,2023,11.131443,18.121786,-1
BAX,2023,11.023689,16.399212,3
BBY,2023,12.867977,16.609562,2
BDX,2023,10.93612,16.558739,3
BEN,2023,11.4173,19.37521,8
BF-B,2023,10.949789,19.692284,13
BG,2023,10.754027,19.975721,13
BIIB,2023,10.779327,16.857622,3
BK,2023,12.019311,17.995003,5
BKNG,2023,13.425573,19.544086,11
BKR,2023,13.269014,18.335669,11
BLDR,2023,11.960921,19.77111,-1
BMY,2023,2.4168313,8.341927,0
BR,2023,12.604513,19.141758,-1
BRK-B,2023,10.985984,19.22913,-1
BRO,2023,12.366538,19.737368,12
BSX,2023,10.984221,16.321413,3
BX,2023,11.658778,20.025434,-1
BXP,2023,11.673466,18.0318,4
C,2023,25.603222,-4.199479,1
CAG,2023,12.186435,16.435514,2
CAH,2023,25.666964,-4.2844205,1
CARR,2023,13.472138,17.271544,10
CASY,2023,12.447358,16.127651,2
CAT,2023,13.240434,18.171165,-1
CB,2023,12.080698,17.871902,5
CBOE,2023,10.121231,18.828436,-1
CBRE,2023,12.262344,18.153345,4
CCI,2023,14.1146,18.992058,-1
CCL,2023,13.519958,19.731081,-1
CDNS,2023,12.600467,19.019707,11
CDW,2023,12.319647,19.837141,12
CEG,2023,9.773457,17.754635,6
CF,2023,12.907474,18.022596,-1
CFG,2023,10.032692,18.474192,7
CHD,2023,25.781559,-4.182387,1
CHRW,2023,13.471149,17.379536,10
CHTR,2023,11.605499,19.983887,-1
CI,2023,2.5671504,8.576621,0
CIEN,2023,13.824599,18.938503,11
CINF,2023,11.822901,17.597324,5
CL,2023,11.772005,16.43237,2
CLX,2023,11.22099,19.22127,8
CMCSA,2023,14.541275,18.96739,9
CME,2023,10.401055,19.112165,-1
CMG,2023,10.906152,18.45112,-1
CMI,2023,13.309856,17.45395,10
CMS,2023,9.741408,17.909416,6
CNC,2023,12.726176,19.72293,12
CNP,2023,10.155241,18.105406,-1
COF,2023,2.320125,8.625756,0
COHR,2023,14.297496,18.100378,10
COIN,2023,12.489818,19.380526,-1
COO,2023,12.201839,19.57825,-1
COP,2023,25.566496,-4.1556354,1
COR,2023,10.850864,16.66167,3
COST,2023,11.572929,19.541374,-1
CPAY,2023,12.881152,18.909348,-1
CPB,2023,12.294003,16.480532,2
CPRT,2023,2.3026137,8.293158,0
CPT,2023,11.652684,18.491049,4
CRH,2023,11.499173,19.502281,-1
CRL,2023,11.988946,19.692026,-1
CRM,2023,13.824027,18.376608,11
CRWD,2023,14.111895,18.567474,11
CSCO,2023,11.09044,19.661541,-1
CSGP,2023,10.1370735,18.449064,-1
CSX,2023,13.031602,16.973766,-1
CTAS,2023,11.929775,17.336573,2
CTRA,2023,25.608557,-4.235667,1
CTSH,2023,14.17448,18.245258,11
CTVA,2023,11.340917,20.11325,14
CVNA,2023,12.596627,19.428291,-1
CVS,2023,11.114004,16.438972,3
CVX,2023,10.460811,17.74553,-1
D,2023,11.878455,19.358316,-1
DAL,2023,11.373603,20.26918,14
DASH,2023,13.524107,18.628033,11
DD,2023,10.973363,19.697872,-1
DDOG,2023,13.232138,18.782389,-1
DE,2023,11.717034,19.70207,-1
DECK,2023,12.362751,16.863152,2
DELL,2023,14.007005,18.091516,11
DG,2023,10.954129,18.524944,-1
DGX,2023,2.0964904,8.485911,0
DHI,2023,11.704616,18.162891,4
DHR,2023,11.8814,18.90079,8
DIS,2023,12.162159,19.376383,-1
DLR,2023,11.859142,18.125378,4
DLTR,2023,12.685836,16.580627,2
DOC,2023,11.328618,18.771637,-1
DOV,2023,12.901963,17.501347,-1
DOW,2023,11.005218,19.910309,13
DPZ,2023,12.275633,16.026194,2
DRI,2023,12.150766,18.916817,-1
DTE,2023,25.585667,-4.3009152,1
DUK,2023,9.672557,17.600004,6
DVA,2023,11.08462,16.324417,3
DVN,2023,25.77116,-4.413768,1
DXCM,2023,11.393918,19.831684,-1
EA,2023,13.822781,19.39178,9
EBAY,2023,13.282917,18.377178,11
ECL,2023,10.836857,17.404543,3
ED,2023,25.662796,-4.3050423,1
EFX,2023,13.211075,17.545229,10
EG,2023,12.629913,18.075357,5
EIX,2023,25.71611,-4.317785,1
EL,2023,10.944705,19.390976,-1
ELV,2023,11.801,19.305899,-1
EME,2023,11.371968,19.18244,8
EMR,2023,10.422857,17.904354,7
EOG,2023,2.2061856,8.561429,0
EPAM,2023,10.799954,19.856441,13
EQIX,2023,13.950586,17.430866,10
EQR,2023,11.534308,18.368744,4
EQT,2023,10.441263,19.80866,-1
ERIE,2023,11.974347,18.019724,5
ES,2023,12.594524,19.51185,-1
ESS,2023,11.453727,18.446348,4
ETN,2023,13.752959,18.092482,11
ETR,2023,11.815894,19.151587,-1
EVRG,2023,11.8416395,19.391094,-1
EW,2023,12.520884,19.605,-1
EXC,2023,10.021856,17.743847,6
EXE,2023,9.705963,18.174026,6
EXPD,2023,13.054975,17.597187,10
EXPE,2023,11.598658,20.059458,14
EXR,2023,12.439355,19.949978,12
F,2023,2.0886552,8.559815,0
FANG,2023,12.363395,18.68329,-1
FAST,2023,12.913969,19.464014,12
FCX,2023,25.602818,-4.244556,1
FDS,2023,11.652616,20.27409,-1
FDX,2023,11.519307,20.219513,-1
FE,2023,2.2555907,8.212899,0
FFIV,2023,10.676618,20.07699,13
FICO,2023,12.230934,20.091982,12
FIS,2023,14.021258,18.41479,11
FISV,2023,12.70904,18.618427,-1
FITB,2023,10.067427,19.466146,-1
FIX,2023,11.970568,20.330633,14
FOX,2023,14.647287,19.308651,9
FOXA,2023,14.660205,19.335253,9
FRT,2023,11.567134,18.504955,4
FSLR,2023,13.672575,18.241423,11
FTNT,2023,12.691351,18.290518,-1
FTV,2023,12.443714,18.948793,11
GD,2023,13.519989,17.775616,11
GDDY,2023,13.675939,18.712328,11
GE,2023,10.368594,19.016277,-1
GEHC,2023,13.040424,18.385395,11
GEN,2023,13.564046,18.492748,11
GILD,2023,10.697488,17.205269,3
GIS,2023,12.225537,16.184612,2
GL,2023,11.092044,18.128372,-1
GLW,2023,14.384526,18.075438,10
GM,2023,12.612687,18.66904,-1
GNRC,2023,12.013128,19.796698,-1
GOOG,2023,14.091704,18.546978,11
GOOGL,2023,14.02547,18.46692,11
GPC,2023,13.529192,17.586296,10
GPN,2023,12.548472,18.447517,-1
GRMN,2023,11.11827,20.305578,14
GS,2023,2.476496,8.831571,0
GWW,2023,25.548132,-4.17621,1
HAL,2023,13.147033,18.147331,-1
HAS,2023,13.7255945,19.373657,9
HBAN,2023,9.982968,18.443754,7
HCA,2023,11.291357,16.68822,3
HD,2023,10.156881,18.135622,6
HIG,2023,12.235941,17.617962,5
HII,2023,13.306719,17.822052,11
HLT,2023,10.759,20.121098,13
HON,2023,25.673431,-4.249875,1
HOOD,2023,13.533665,18.737043,11
HPE,2023,12.110349,19.741425,-1
HPQ,2023,12.764789,19.747885,-1
HRL,2023,12.282999,15.949131,2
HSIC,2023,11.430346,16.445314,3
HST,2023,12.757586,20.165958,-1
HSY,2023,10.545909,20.126318,13
HUBB,2023,13.673812,18.835688,-1
HUM,2023,12.021584,18.748835,-1
HWM,2023,11.179201,20.030968,14
IBKR,2023,11.838252,20.29107,14
IBM,2023,14.073957,17.842218,11
ICE,2023,13.896545,17.309885,10
