ticker,year,x,y,cluster
A,2023,8.277076,20.580494,-1
AAPL,2023,8.962546,23.587025,16
ABBV,2023,8.314077,20.73813,-1
ABNB,2023,8.702031,23.270998,16
ABT,2023,8.682647,20.428146,13
ACGL,2023,8.44,23.59667,-1
ACN,2023,7.814335,24.232075,-1
ADBE,2023,8.388307,22.404076,-1
ADI,2023,5.9258056,22.599977,4
ADM,2023,7.2632875,19.468424,13
ADP,2023,8.32432,20.0211,10
ADSK,2023,7.8636904,22.389482,6
AEE,2023,6.1948137,18.01211,1
AEP,2023,5.7146287,20.518969,7
AES,2023,4.8158464,21.383251,7
AFL,2023,8.94348,23.700768,16
AIG,2023,5.6666512,21.905886,4
AIZ,2023,8.208292,25.531498,18
AJG,2023,7.993478,20.11515,-1
AKAM,2023,8.253535,23.79518,-1
ALB,2023,7.6917496,20.824406,9
ALGN,2023,6.1347213,22.033638,-1
ALL,2023,6.5181785,17.955488,1
ALLE,2023,9.074849,24.235584,15
AMAT,2023,2.465391,6.7388167,0
AMCR,2023,5.969522,22.699387,4
AMD,2023,8.025687,24.642597,17
AME,2023,7.368224,21.102045,2
AMGN,2023,6.0977726,17.647175,1
AMP,2023,7.33987,21.49678,-1
AMT,2023,5.712288,22.145794,4
AMZN,2023,8.027803,22.474749,6
ANET,2023,8.12192,22.704855,-1
AON,2023,5.749303,22.156673,4
AOS,2023,7.6648006,21.363497,3
APA,2023,2.5344296,6.668726,0
APD,2023,8.535828,24.842085,15
APH,2023,6.2437444,17.708574,1
APO,2023,7.755223,23.10164,14
APP,2023,7.598211,25.142815,19
APTV,2023,7.6753287,23.314695,-1
ARE,2023,5.9702263,21.207066,-1
ARES,2023,7.845642,24.520056,-1
ATO,2023,5.720436,21.269985,8
AVB,2023,8.067436,24.290922,16
AVGO,2023,7.8286247,22.50298,6
AVY,2023,8.813212,23.773119,16
AWK,2023,6.560035,21.731133,-1
AXON,2023,8.168053,24.050303,16
AXP,2023,7.502348,20.417967,-1
AZO,2023,6.2992024,17.544573,1
BA,2023,8.178485,20.810984,-1
BAC,2023,7.4095635,20.857859,2
BALL,2023,4.680102,21.613811,7
BAX,2023,8.946509,20.479292,12
BBY,2023,7.287081,20.924595,9
BDX,2023,7.2488866,21.146452,2
BEN,2023,6.867467,23.83224,-1
BF-B,2023,7.8240376,22.686419,-1
BG,2023,7.8439627,24.930878,17
BIIB,2023,8.860529,24.029293,-1
BK,2023,7.4856763,20.87212,2
BKNG,2023,8.118504,23.377071,-1
BKR,2023,7.590332,19.994408,-1
BLDR,2023,7.8316374,23.243862,14
BMY,2023,6.260846,17.492502,1
BR,2023,8.527302,24.473259,15
BRK-B,2023,5.632459,22.721807,4
BRO,2023,8.7227335,24.315525,15
BSX,2023,9.033905,20.29471,12
BX,2023,7.4027605,23.199219,14
BXP,2023,6.872373,20.424309,-1
C,2023,2.438215,6.5847507,0
CAG,2023,5.7876573,22.895432,4
CAH,2023,2.538896,6.7673564,0
CARR,2023,7.642434,19.418188,11
CASY,2023,7.2846174,20.472637,-1
CAT,2023,7.316538,21.05188,-1
CB,2023,8.0689945,20.92896,-1
CBOE,2023,6.2079425,21.472448,-1
CBRE,2023,7.67731,20.18424,10
CCI,2023,8.680553,24.643923,15
CCL,2023,6.5787373,20.585024,-1
CDNS,2023,8.166703,21.933828,5
CDW,2023,9.055236,23.699825,16
CEG,2023,5.1859293,21.01991,7
CF,2023,6.3535013,22.215218,4
CFG,2023,5.7882414,21.696672,8
CHD,2023,2.651446,6.553739,0
CHRW,2023,8.065722,20.027481,10
CHTR,2023,7.720889,22.204702,6
CI,2023,6.67083,18.079992,1
CIEN,2023,7.675395,25.33532,19
CINF,2023,5.7026052,22.227291,4
CL,2023,8.271209,20.35245,-1
CLX,2023,6.862009,22.863918,4
CMCSA,2023,7.097259,22.673878,-1
CME,2023,7.802399,22.776033,6
CMG,2023,5.150235,21.75238,7
CMI,2023,7.5213594,19.858202,-1
CMS,2023,7.7691016,22.077543,-1
CNC,2023,8.469826,24.358353,15
CNP,2023,5.777316,20.90326,8
COF,2023,6.1667,17.462114,1
COHR,2023,7.793584,19.20825,11
COIN,2023,7.8280616,22.584675,-1
COO,2023,7.708999,23.52241,-1
COP,2023,2.4372094,6.725888,0
COR,2023,8.983946,20.567314,12
COST,2023,8.903939,23.577349,16
CPAY,2023,7.149669,23.56676,-1
CPB,2023,8.476668,24.212908,-1
CPRT,2023,6.155887,17.648115,1
CPT,2023,6.682073,20.705664,-1
CRH,2023,8.5089245,23.329742,16
CRL,2023,8.276348,25.403488,18
CRM,2023,9.015114,24.425259,15
CRWD,2023,7.467381,22.786583,14
CSCO,2023,7.7233357,23.086554,14
CSGP,2023,6.0124235,21.458384,8
CSX,2023,6.7132735,19.49122,-1
CTAS,2023,8.141616,20.337362,9
CTRA,2023,2.565141,6.616604,0
CTSH,2023,8.42935,19.771313,10
CTVA,2023,7.362472,22.67691,-1
CVNA,2023,7.9345126,23.100534,14
CVS,2023,9.033663,20.350328,12
CVX,2023,6.672343,19.571297,-1
D,2023,7.99075,25.4214,18
DAL,2023,6.453874,21.995573,-1
DASH,2023,7.685961,25.216707,19
DD,2023,7.5194325,22.888351,14
DDOG,2023,8.346133,22.542368,6
DE,2023,7.707273,25.22396,19
DECK,2023,6.52801,22.74381,4
DELL,2023,7.4061213,22.283815,5
DG,2023,5.764575,22.796415,4
DGX,2023,6.3435326,17.431759,1
DHI,2023,7.035034,20.811428,9
DHR,2023,6.6337023,22.313437,-1
DIS,2023,6.89967,23.143421,-1
DLR,2023,7.580786,22.130714,-1
DLTR,2023,7.6790347,24.582384,17
DOC,2023,6.489738,22.826443,4
DOV,2023,7.189752,20.629137,-1
DOW,2023,5.7466397,22.933811,4
DPZ,2023,7.197974,21.632563,-1
DRI,2023,6.512875,22.64152,4
