ticker,year,x,y,cluster
A,2023,-2.1627598,6.680561,11
AAPL,2023,0.2780665,6.3201857,14
ABBV,2023,-3.1196947,6.7044616,8
ABNB,2023,2.2356536,2.6399784,6
ABT,2023,-2.8183656,7.039838,11
ACGL,2023,2.2961671,2.6402,6
ACN,2023,2.492609,7.649259,16
ADBE,2023,1.2568365,8.5392475,18
ADI,2023,3.388474,2.2501314,6
ADM,2023,-0.0461435,6.4027076,14
ADP,2023,2.2476842,7.9147434,16
ADSK,2023,0.5853439,7.814353,19
AEE,2023,-0.2863261,3.8313243,1
AEP,2023,-0.11858884,4.132862,1
AES,2023,-0.017686397,4.2230854,1
AFL,2023,3.5665185,7.458557,13
AIG,2023,3.603579,7.4973826,13
AIZ,2023,3.0129495,1.9352063,-1
AJG,2023,3.7950003,7.2851605,13
AKAM,2023,0.85612553,8.343666,18
ALB,2023,-1.1944624,7.1796765,20
ALGN,2023,-3.0959096,6.788368,8
ALL,2023,-1.7159141,2.650043,2
ALLE,2023,0.053193476,7.638061,-1
AMAT,2023,21.971264,7.0830245,0
AMCR,2023,-1.2072362,7.3994184,20
AMD,2023,0.8578292,8.197506,18
AME,2023,-0.8022357,6.556032,15
AMGN,2023,-1.4615846,2.2560484,2
AMP,2023,2.884447,7.1050587,17
AMT,2023,1.2835122,6.8511662,5
AMZN,2023,-1.1462643,9.335026,21
ANET,2023,1.0193657,8.078759,18
AON,2023,2.6323586,7.608304,16
AOS,2023,-1.2084244,6.859142,14
APA,2023,22.141882,6.806303,0
APD,2023,-0.46349442,5.7205405,9
APH,2023,-1.4885422,2.3224926,2
APO,2023,3.3698788,1.7428626,7
APP,2023,0.88955975,8.683496,18
APTV,2023,0.047103852,7.356409,-1
ARE,2023,3.2162652,1.6436199,-1
ARES,2023,3.3321357,1.7671214,7
ATO,2023,0.10696596,3.866009,1
AVB,2023,3.2540808,1.6820635,7
AVGO,2023,0.8658653,7.841644,18
AVY,2023,-0.98334026,7.357866,20
AWK,2023,3.3159654,2.66617,6
AXON,2023,3.3065653,1.7133579,7
AXP,2023,-0.22543792,8.917354,-1
AZO,2023,-1.5819296,2.610755,2
BA,2023,-1.1266199,5.866108,15
BAC,2023,2.798326,6.026272,4
BALL,2023,-1.0568451,7.4991746,20
BAX,2023,-2.8138998,7.157047,11
BBY,2023,-1.0656791,8.363143,-1
BDX,2023,-2.6165044,6.9696913,11
BEN,2023,2.8019314,7.0243907,17
BF-B,2023,2.8612628,2.514775,6
BG,2023,2.8168287,2.2791052,-1
BIIB,2023,2.444943,2.6765277,-1
BK,2023,2.8860676,6.2705197,4
BKNG,2023,-0.6029567,8.17867,-1
BKR,2023,-0.28506327,5.986447,9
BLDR,2023,-0.38522816,7.2481804,14
BMY,2023,-1.4788475,2.1424863,2
BR,2023,2.4231784,7.4826164,-1
BRK-B,2023,3.990633,7.4850054,13
BRO,2023,3.9612293,7.3154907,13
BSX,2023,-2.7268715,7.138461,11
BX,2023,3.4592001,1.6451191,7
BXP,2023,1.329673,6.141017,12
C,2023,22.222475,6.8285,0
CAG,2023,-1.148801,9.254237,21
CAH,2023,22.06938,7.038189,0
CARR,2023,-0.67165136,6.9650316,14
CASY,2023,-1.4122247,8.534668,21
CAT,2023,-0.32940772,6.877723,14
CB,2023,3.8356524,7.28148,13
CBOE,2023,1.7401875,7.338153,-1
CBRE,2023,1.5021183,6.452949,12
CCI,2023,2.6656957,2.3461113,6
CCL,2023,-1.5467818,6.195957,-1
CDNS,2023,0.4358781,7.6419735,19
CDW,2023,0.700163,8.117719,-1
CEG,2023,-0.15893903,4.2331777,1
CF,2023,-0.2840284,5.8483963,9
CFG,2023,2.7011156,5.901413,4
CHD,2023,21.985678,6.9837317,0
CHRW,2023,-0.25459075,7.7932863,3
CHTR,2023,0.9290465,9.269419,5
CI,2023,-1.3207958,2.3370347,2
CIEN,2023,0.8567439,8.263997,-1
CINF,2023,3.819009,7.489488,13
CL,2023,-1.2375029,7.515558,20
CLX,2023,-0.22839957,6.5211663,14
CMCSA,2023,0.8127446,9.190708,5
CME,2023,1.6948956,7.3692355,-1
CMG,2023,-1.5875247,8.058933,20
CMI,2023,-0.58807117,6.520098,14
CMS,2023,0.025645843,4.453056,1
CNC,2023,-3.467166,7.4319987,10
CNP,2023,0.096814215,4.1629033,1
COF,2023,-1.5693854,2.5006642,2
COHR,2023,0.20501466,7.195669,19
COIN,2023,1.3760759,7.9111724,-1
COO,2023,-2.7339458,7.258871,11
COP,2023,22.120779,7.136511,0
COR,2023,-2.7486398,6.8531175,11
COST,2023,-1.1410153,9.303968,21
CPAY,2023,1.799074,8.131812,-1
CPB,2023,-1.4008164,7.607909,20
CPRT,2023,-1.4018039,2.3228006,2
CPT,2023,1.1126841,6.632458,12
CRH,2023,-0.30289322,6.893615,14
CRL,2023,-2.4351952,6.5717807,11
CRM,2023,1.1656734,8.584715,18
CRWD,2023,1.2012492,8.418914,18
CSCO,2023,3.388326,1.9359207,7
CSGP,2023,1.446008,6.3365097,12
CSX,2023,-0.33962768,7.669617,3
CTAS,2023,-1.1821904,7.3684688,20
CTRA,2023,22.084995,6.939767,0
CTSH,2023,2.3489943,7.784186,16
CTVA,2023,-0.14833735,6.503908,14
CVNA,2023,-0.023952305,7.835979,-1
CVS,2023,-3.4867756,7.4454274,10
CVX,2023,0.6033686,3.7708654,1
D,2023,-0.16639042,4.3750644,1
DAL,2023,3.0613937,2.740522,6
DASH,2023,0.55497897,8.5881405,18
DD,2023,-0.20338461,6.5991488,14
DDOG,2023,1.1814209,8.368824,18
DE,2023,-0.6309162,6.9921,14
DECK,2023,-1.2479829,8.171989,21
DELL,2023,0.7584423,7.811369,19
DG,2023,-1.3274361,8.667491,21
