method,year,theme_id,n_members,avg_affinity,members
e5,2019,2,4,0.861,"BAC, CVX, WFC, XOM"
e5,2019,1,5,0.709,"AMD, COST, KO, NEE, PEP"
e5,2019,0,5,0.694,"GE, HD, LIN, MCD, MS"
e5,2019,4,6,0.667,"CRM, GOOGL, IBM, NVDA, ORCL, TXN"
e5,2019,5,8,0.625,"AAPL, ADBE, AMZN, CSCO, DIS, INTU, QCOM, V"
e5,2019,3,8,0.534,"ABBV, ABT, JNJ, MRK, PG, PM, TMO, UNH"
e5,2021,0,3,1.0,"GE, MCD, MS"
e5,2021,5,5,0.729,"AMZN, IBM, INTU, QCOM, TXN"
e5,2021,4,7,0.681,"ADBE, CRM, GOOGL, MA, NFLX, ORCL, V"
e5,2021,2,5,0.675,"BAC, CVX, LIN, WFC, XOM"
e5,2021,3,13,0.493,"ACN, AMD, AVGO, COST, CSCO, DIS, KO, LLY, META, NEE, NVDA, PEP, WMT"
e5,2021,1,10,0.468,"ABBV, ABT, HD, JNJ, MRK, PG, PM, SPGI, TMO, UNH"
e5,2023,1,5,0.88,"ABBV, ABT, JNJ, MRK, UNH"
e5,2023,2,5,0.739,"CVX, LIN, LLY, PM, XOM"
e5,2023,0,32,0.64,"AAPL, ACN, ADBE, AMD, AMZN, AVGO, BAC, BRK-B, COST, CRM, CSCO, DIS, GE, GOOGL, IBM, INTU, KO, MA, MCD, META, MS, NEE, NVDA, ORCL, PEP, PG, QCOM, SPGI, TSLA, TXN, V, WMT"
sbert,2019,0,29,0.805,"AAPL, ABBV, ACN, ADBE, AMD, BRK-B, COST, CRM, CSCO, GE, GOOGL, HD, IBM, KO, LLY, MA, MCD, META, MRK, MS, MSFT, NEE, NFLX, NVDA, PEP, PG, TMO, TSLA, UNH"
sbert,2019,1,17,0.781,"ABT, AMZN, AVGO, BAC, CVX, INTU, JNJ, LIN, PM, QCOM, RTX, SPGI, TXN, V, WFC, WMT, XOM"
sbert,2021,6,3,1.0,"GE, HD, IBM"
sbert,2021,4,5,0.849,"AMZN, AVGO, PM, RTX, V"
sbert,2021,5,4,0.794,"ACN, CRM, KO, META"
sbert,2021,1,6,0.747,"ADBE, GOOGL, GS, INTU, TSLA, TXN"
sbert,2021,2,6,0.679,"ABBV, ABT, JNJ, MRK, TMO, UNH"
sbert,2021,3,15,0.612,"BAC, BRK-B, CSCO, CVX, DIS, LIN, MCD, MS, MSFT, NFLX, ORCL, PG, WFC, WMT, XOM"
sbert,2021,0,7,0.573,"AAPL, AMD, COST, LLY, MA, NEE, PEP"
sbert,2023,0,3,1.0,"BRK-B, MS, PG"
sbert,2023,4,4,0.841,"ABBV, JNJ, MRK, UNH"
sbert,2023,3,4,0.828,"ACN, CRM, KO, META"
sbert,2023,2,4,0.818,"MCD, ORCL, RTX, V"
sbert,2023,6,4,0.81,"AMZN, AVGO, PM, QCOM"
sbert,2023,1,11,0.69,"ADBE, BAC, CVX, INTU, LIN, SPGI, TSLA, TXN, WFC, WMT, XOM"
sbert,2023,5,9,0.497,"AAPL, AMD, COST, CSCO, GE, GOOGL, LLY, MA, NEE"
tfidf,2019,0,5,0.786,"BAC, BRK-B, JPM, SPGI, WFC"
tfidf,2019,1,9,0.698,"CSCO, KO, MA, NEE, NFLX, PEP, QCOM, V, WMT"
tfidf,2019,2,19,0.545,"ACN, ADBE, AMD, AMZN, AVGO, COST, CRM, GE, GOOGL, HD, IBM, INTU, MCD, META, MS, MSFT, NVDA, ORCL, TSLA"
tfidf,2019,3,13,0.514,"AAPL, ABBV, ABT, CVX, JNJ, LIN, LLY, MRK, PG, PM, RTX, TMO, UNH"
tfidf,2021,0,3,1.0,"AMZN, COST, TXN"
tfidf,2021,2,3,1.0,"AVGO, RTX, TSLA"
tfidf,2021,5,5,0.676,"ACN, BAC, BRK-B, SPGI, WFC"
tfidf,2021,3,6,0.639,"AAPL, DIS, IBM, MS, NFLX, TMO"
tfidf,2021,6,7,0.572,"ADBE, CRM, GOOGL, HD, INTU, MSFT, NVDA"
tfidf,2021,1,9,0.532,"CSCO, GS, JPM, KO, MA, NEE, PEP, QCOM, V"
tfidf,2021,4,10,0.45,"ABBV, ABT, CVX, JNJ, LIN, LLY, MRK, PG, PM, UNH"
tfidf,2023,0,3,1.0,"CVX, LIN, XOM"
tfidf,2023,6,3,1.0,"AAPL, DIS, PG"
tfidf,2023,3,4,0.792,"BAC, BRK-B, JPM, WFC"
tfidf,2023,4,8,0.679,"CSCO, GS, HD, KO, MA, NEE, PEP, QCOM"
tfidf,2023,1,6,0.641,"AMZN, COST, GE, MCD, TXN, WMT"
tfidf,2023,5,8,0.546,"ABBV, ABT, JNJ, LLY, MRK, PM, TMO, UNH"
tfidf,2023,2,16,0.431,"ACN, ADBE, AMD, AVGO, CRM, GOOGL, IBM, INTU, META, MSFT, NVDA, ORCL, RTX, SPGI, TSLA, V"
