ticker,year,x,y,cluster
AAPL,2021,7.3829503,-0.982865,-1
ABBV,2021,5.6656365,-1.2185862,1
ABT,2021,5.2760696,-1.1934125,1
ACN,2021,6.6451745,-0.5150435,3
ADBE,2021,7.8865075,-0.0872291,4
AMD,2021,6.709044,-0.20773827,3
AMZN,2021,8.124936,0.9944256,5
AVGO,2021,6.8013115,0.47427046,3
BAC,2021,6.0610175,0.6687686,2
BRK-B,2021,6.6618223,0.8824582,-1
COST,2021,7.0089006,0.22354281,3
CRM,2021,8.032124,-0.29663676,4
CSCO,2021,7.33515,-0.40968174,3
CVX,2021,5.3960724,0.90928733,2
DIS,2021,7.2028737,-1.1257044,3
GE,2021,6.6370096,1.3962284,0
GOOGL,2021,8.596415,0.09797358,4
GS,2021,8.303411,-0.9374831,-1
HD,2021,6.045366,-0.75050694,1
IBM,2021,7.610644,1.7583717,5
INTU,2021,8.051166,1.4530717,5
JNJ,2021,5.1076016,-0.82216626,1
JPM,2021,8.118237,-0.95016426,-1
KO,2021,6.969821,-0.629172,3
LIN,2021,4.989095,0.73799866,2
LLY,2021,6.821496,-1.3418916,3
MA,2021,8.310694,-0.057351265,4
MCD,2021,6.5016994,1.8329617,0
META,2021,7.615171,-0.012488653,3
MRK,2021,5.7859435,-1.5811844,1
MS,2021,6.6941614,2.1204703,0
MSFT,2021,7.6607337,0.6929464,-1
NEE,2021,6.44895,-0.8103967,3
NFLX,2021,8.232962,-0.5898374,4
NVDA,2021,6.8025618,0.14289665,3
ORCL,2021,8.837987,-0.15928483,4
PEP,2021,6.402933,-0.1311922,3
PG,2021,5.694756,0.17455208,1
PM,2021,5.4289374,-0.41371137,1
QCOM,2021,7.4806128,1.1204624,5
RTX,2021,6.1908264,1.0492791,-1
SPGI,2021,5.3030577,-0.023839647,1
TMO,2021,6.243019,-1.4229374,1
TSLA,2021,7.5957694,-0.68855655,-1
TXN,2021,7.775842,1.4096318,5
UNH,2021,5.576312,-1.4997095,1
V,2021,9.044939,-0.34184113,4
WFC,2021,6.0638924,1.377669,2
WMT,2021,7.3131166,0.40701133,3
XOM,2021,5.3476715,0.5004701,2
