ticker,year,x,y,cluster
AAPL,2021,3.1465588,7.8856826,0
ABBV,2021,4.1147337,4.919576,2
ABT,2021,4.452689,4.6585727,2
ACN,2021,2.8343534,7.609357,5
ADBE,2021,3.0210388,5.9244847,1
AMD,2021,2.394083,8.359114,0
AMZN,2021,3.0425844,7.285537,4
AVGO,2021,4.474,7.831734,4
BAC,2021,5.0530396,6.8319254,3
BRK-B,2021,3.9011643,8.730169,3
COST,2021,2.1533532,8.759726,0
CRM,2021,2.2146373,7.6793633,5
CSCO,2021,3.6072555,8.600739,3
CVX,2021,5.1251693,5.542401,3
DIS,2021,4.0688243,7.52687,3
GE,2021,3.5869415,7.957524,6
GOOGL,2021,3.541297,5.788572,1
GS,2021,2.5215056,6.3747454,1
HD,2021,3.522148,7.426469,6
IBM,2021,3.6258562,7.3669705,6
INTU,2021,2.6904247,5.5860367,1
JNJ,2021,4.017548,4.596964,2
JPM,2021,2.2364106,6.680246,-1
KO,2021,1.9956745,8.020648,5
LIN,2021,4.7084103,5.4695883,3
LLY,2021,2.9581938,8.611513,0
MA,2021,2.688465,8.762053,0
MCD,2021,3.4127343,8.399862,3
META,2021,2.4580584,7.8318176,5
MRK,2021,3.653752,4.8817263,2
MS,2021,3.712097,9.187297,3
MSFT,2021,3.0146787,8.198718,3
NEE,2021,2.3870242,8.85624,0
NFLX,2021,2.5857475,9.346702,3
NVDA,2021,3.0114498,6.819194,-1
ORCL,2021,4.2445064,8.441183,3
PEP,2021,1.8876998,8.669035,0
PG,2021,3.9211085,7.9792104,3
PM,2021,4.2375593,6.248424,4
QCOM,2021,3.8132267,6.370423,-1
RTX,2021,4.564099,7.2383094,4
SPGI,2021,4.516193,6.604124,-1
TMO,2021,3.9165733,5.186133,2
TSLA,2021,3.31491,5.4640145,1
TXN,2021,3.182738,5.155965,1
UNH,2021,3.76897,4.5668993,2
V,2021,4.3247266,7.061532,4
WFC,2021,5.2814293,7.073883,3
WMT,2021,5.13695,6.515817,3
XOM,2021,5.165603,5.99988,3
