ticker,year,x,y,cluster
AAPL,2023,4.1402736,3.7168136,6
ABBV,2023,5.6237903,4.916731,5
ABT,2023,5.7454405,4.5359693,5
ACN,2023,2.6992152,3.6358209,2
ADBE,2023,2.7230022,4.1749315,2
AMD,2023,2.621179,4.916563,2
AMZN,2023,3.4056962,2.605652,1
AVGO,2023,3.0109437,4.5746603,2
BAC,2023,4.9248776,3.3396733,3
BRK-B,2023,5.444079,3.5075042,3
COST,2023,3.6894035,2.587148,1
CRM,2023,3.1834798,3.8824053,2
CSCO,2023,4.6713114,0.9440521,4
CVX,2023,4.6003356,3.8633792,0
DIS,2023,4.0297837,3.1682804,6
GE,2023,3.9866219,1.7462032,1
GOOGL,2023,2.846773,4.799202,2
GS,2023,5.2192903,1.7499386,4
HD,2023,4.3573885,1.1031451,4
IBM,2023,2.3558514,3.3236334,2
INTU,2023,3.2903366,4.32132,2
JNJ,2023,5.1143155,4.9366984,5
JPM,2023,5.37015,2.5377295,3
KO,2023,4.7432094,1.4897902,4
LIN,2023,4.4676,4.225341,0
LLY,2023,5.9717975,4.613484,5
MA,2023,4.584504,1.6995732,4
MCD,2023,3.8368337,1.5954431,1
META,2023,3.2318118,4.253186,2
MRK,2023,5.7921085,4.8921757,5
MS,2023,2.9004831,2.7886343,-1
MSFT,2023,2.4596992,4.782553,2
NEE,2023,5.02913,1.2827187,4
NFLX,2023,4.34075,2.9774792,-1
NVDA,2023,2.2118385,4.950317,2
ORCL,2023,2.4424398,4.2835555,2
PEP,2023,4.845409,1.1586044,4
PG,2023,4.678548,4.6225104,6
PM,2023,5.1769648,4.486734,5
QCOM,2023,4.8528895,2.1679137,4
RTX,2023,4.238987,4.953517,2
SPGI,2023,3.8999455,4.988111,2
TMO,2023,5.0552106,4.287933,5
TSLA,2023,3.716859,4.6566186,2
TXN,2023,3.4669905,3.2301416,1
UNH,2023,5.362619,5.1647596,5
V,2023,2.4028049,3.7054453,2
WFC,2023,5.316505,3.1616518,3
WMT,2023,4.0322165,2.3999598,1
XOM,2023,4.529092,3.7901726,0
