ticker,year,filing_date,text_path,char_count,extraction_method,status
A,2019,2020-12-18,data\edgar\filings\A_2019.txt,30000,item1_extracted,ok
A,2021,2022-12-21,data\edgar\filings\A_2021.txt,30000,item1_extracted,ok
A,2023,2024-12-20,data\edgar\filings\A_2023.txt,30000,item1_extracted,ok
AAPL,2019,2020-10-30,data\edgar\filings\AAPL_2019.txt,16156,cached,ok
AAPL,2021,2022-10-28,data\edgar\filings\AAPL_2021.txt,17805,cached,ok
AAPL,2023,2024-11-01,data\edgar\filings\AAPL_2023.txt,18892,cached,ok
ABBV,2019,2020-02-21,data\edgar\filings\ABBV_2019.txt,30000,cached,ok
ABBV,2021,2022-02-18,data\edgar\filings\ABBV_2021.txt,30000,cached,ok
ABBV,2023,2024-02-20,data\edgar\filings\ABBV_2023.txt,30000,cached,ok
ABNB,2021,2022-02-25,data\edgar\filings\ABNB_2021.txt,30000,item1_extracted,ok
ABNB,2023,2024-02-16,data\edgar\filings\ABNB_2023.txt,7410,item1_extracted,ok
ABT,2019,2020-02-21,data\edgar\filings\ABT_2019.txt,27834,cached,ok
ABT,2021,2022-02-18,data\edgar\filings\ABT_2021.txt,13826,cached,ok
ABT,2023,2024-02-16,data\edgar\filings\ABT_2023.txt,15292,cached,ok
ACGL,2019,2020-02-28,data\edgar\filings\ACGL_2019.txt,6875,item1_extracted,ok
ACGL,2021,2022-02-25,data\edgar\filings\ACGL_2021.txt,7403,item1_extracted,ok
ACGL,2023,2024-02-23,data\edgar\filings\ACGL_2023.txt,7363,item1_extracted,ok
ACN,2019,2020-10-22,data\edgar\filings\ACN_2019.txt,30000,cached,ok
ACN,2021,2022-10-12,data\edgar\filings\ACN_2021.txt,30000,cached,ok
ACN,2023,2024-10-10,data\edgar\filings\ACN_2023.txt,30000,cached,ok
ADBE,2019,2020-01-21,data\edgar\filings\ADBE_2019.txt,30000,cached,ok
ADBE,2021,2022-01-21,data\edgar\filings\ADBE_2021.txt,30000,cached,ok
ADBE,2023,2024-01-17,data\edgar\filings\ADBE_2023.txt,30000,cached,ok
ADI,2019,2020-11-24,data\edgar\filings\ADI_2019.txt,30000,item1_extracted,ok
ADI,2021,2022-11-22,data\edgar\filings\ADI_2021.txt,30000,item1_extracted,ok
ADI,2023,2024-11-26,data\edgar\filings\ADI_2023.txt,4498,item1_extracted,ok
ADM,2019,2020-02-18,data\edgar\filings\ADM_2019.txt,22689,item1_extracted,ok
ADM,2021,2022-02-17,data\edgar\filings\ADM_2021.txt,30000,item1_extracted,ok
ADM,2023,2024-03-12,data\edgar\filings\ADM_2023.txt,30000,item1_extracted,ok
ADP,2019,2020-08-05,data\edgar\filings\ADP_2019.txt,30000,item1_extracted,ok
ADP,2021,2022-08-03,data\edgar\filings\ADP_2021.txt,30000,item1_extracted,ok
ADP,2023,2024-08-07,data\edgar\filings\ADP_2023.txt,30000,item1_extracted,ok
ADSK,2019,2020-03-19,data\edgar\filings\ADSK_2019.txt,30000,item1_extracted,ok
ADSK,2021,2022-03-14,data\edgar\filings\ADSK_2021.txt,30000,item1_extracted,ok
ADSK,2023,2024-06-10,data\edgar\filings\ADSK_2023.txt,30000,item1_extracted,ok
AEE,2019,2020-02-28,data\edgar\filings\AEE_2019.txt,327,item1_extracted,ok
AEE,2021,2022-02-23,data\edgar\filings\AEE_2021.txt,380,item1_extracted,ok
AEE,2023,2024-02-29,data\edgar\filings\AEE_2023.txt,356,item1_extracted,ok
AEP,2019,2020-02-20,data\edgar\filings\AEP_2019.txt,30000,item1_extracted,ok
AEP,2021,2022-02-24,data\edgar\filings\AEP_2021.txt,30000,item1_extracted,ok
AEP,2023,2024-02-26,data\edgar\filings\AEP_2023.txt,30000,item1_extracted,ok
AES,2019,2020-02-28,data\edgar\filings\AES_2019.txt,14669,item1_extracted,ok
AES,2021,2022-02-28,data\edgar\filings\AES_2021.txt,14777,item1_extracted,ok
AES,2023,2024-02-26,data\edgar\filings\AES_2023.txt,15295,item1_extracted,ok
AFL,2019,2020-02-21,data\edgar\filings\AFL_2019.txt,30000,item1_extracted,ok
AFL,2021,2022-02-23,data\edgar\filings\AFL_2021.txt,30000,item1_extracted,ok
AFL,2023,2024-02-22,data\edgar\filings\AFL_2023.txt,30000,item1_extracted,ok
AIG,2019,2020-02-21,data\edgar\filings\AIG_2019.txt,30000,item1_start_only,ok
AIG,2021,2022-02-17,data\edgar\filings\AIG_2021.txt,30000,item1_start_only,ok
AIG,2023,2024-02-14,data\edgar\filings\AIG_2023.txt,30000,item1_start_only,ok
AIZ,2019,2020-02-19,data\edgar\filings\AIZ_2019.txt,1419,item1_extracted,ok
AIZ,2021,2022-02-22,data\edgar\filings\AIZ_2021.txt,1468,item1_extracted,ok
AIZ,2023,2024-02-15,data\edgar\filings\AIZ_2023.txt,1481,item1_extracted,ok
AJG,2019,2020-02-07,data\edgar\filings\AJG_2019.txt,30000,item1_extracted,ok
AJG,2021,2022-02-18,data\edgar\filings\AJG_2021.txt,25376,item1_extracted,ok
AJG,2023,2024-02-09,data\edgar\filings\AJG_2023.txt,30000,item1_start_only,ok
AKAM,2019,2020-02-28,data\edgar\filings\AKAM_2019.txt,30000,item1_extracted,ok
AKAM,2021,2022-02-28,data\edgar\filings\AKAM_2021.txt,30000,item1_extracted,ok
AKAM,2023,2024-02-28,data\edgar\filings\AKAM_2023.txt,28552,item1_extracted,ok
ALB,2019,2020-02-26,data\edgar\filings\ALB_2019.txt,30000,item1_extracted,ok
ALB,2021,2022-02-22,data\edgar\filings\ALB_2021.txt,30000,item1_extracted,ok
ALB,2023,2024-02-15,data\edgar\filings\ALB_2023.txt,30000,item1_extracted,ok
ALGN,2019,2020-02-28,data\edgar\filings\ALGN_2019.txt,29999,item1_start_only,ok
ALGN,2021,2022-02-25,data\edgar\filings\ALGN_2021.txt,30000,item1_start_only,ok
ALGN,2023,2024-02-28,data\edgar\filings\ALGN_2023.txt,30000,item1_start_only,ok
ALL,2019,2020-02-21,data\edgar\filings\ALL_2019.txt,331,item1_extracted,ok
ALL,2021,2022-02-18,data\edgar\filings\ALL_2021.txt,319,item1_extracted,ok
ALL,2023,2024-02-21,data\edgar\filings\ALL_2023.txt,319,item1_extracted,ok
ALLE,2019,2020-02-18,data\edgar\filings\ALLE_2019.txt,30000,item1_extracted,ok
ALLE,2021,2022-02-15,data\edgar\filings\ALLE_2021.txt,30000,item1_extracted,ok
ALLE,2023,2024-02-20,data\edgar\filings\ALLE_2023.txt,30000,item1_extracted,ok
AMAT,2019,2020-12-11,data\edgar\filings\AMAT_2019.txt,30000,full_text_fallback,ok
AMAT,2021,2022-12-16,data\edgar\filings\AMAT_2021.txt,30000,full_text_fallback,ok
AMAT,2023,2024-12-13,data\edgar\filings\AMAT_2023.txt,30000,full_text_fallback,ok
AMCR,2019,2020-08-27,data\edgar\filings\AMCR_2019.txt,5602,item1_extracted,ok
AMCR,2021,2022-08-18,data\edgar\filings\AMCR_2021.txt,5790,item1_extracted,ok
AMCR,2023,2024-08-16,data\edgar\filings\AMCR_2023.txt,30000,item1_start_only,ok
AMD,2019,2020-02-04,data\edgar\filings\AMD_2019.txt,30000,cached,ok
AMD,2021,2022-02-03,data\edgar\filings\AMD_2021.txt,30000,cached,ok
AMD,2023,2024-01-31,data\edgar\filings\AMD_2023.txt,30000,cached,ok
AME,2019,2020-02-20,data\edgar\filings\AME_2019.txt,30000,item1_extracted,ok
AME,2021,2022-02-22,data\edgar\filings\AME_2021.txt,30000,item1_extracted,ok
AME,2023,2024-02-22,data\edgar\filings\AME_2023.txt,30000,item1_extracted,ok
AMGN,2019,2020-02-12,data\edgar\filings\AMGN_2019.txt,407,item1_extracted,ok
AMGN,2021,2022-02-16,data\edgar\filings\AMGN_2021.txt,414,item1_extracted,ok
AMGN,2023,2024-02-14,data\edgar\filings\AMGN_2023.txt,415,item1_extracted,ok
AMP,2019,2020-02-26,data\edgar\filings\AMP_2019.txt,30000,item1_extracted,ok
AMP,2021,2022-02-25,data\edgar\filings\AMP_2021.txt,30000,item1_extracted,ok
AMP,2023,2024-02-22,data\edgar\filings\AMP_2023.txt,30000,item1_extracted,ok
AMT,2019,2020-02-25,data\edgar\filings\AMT_2019.txt,30000,item1_start_only,ok
AMT,2021,2022-02-25,data\edgar\filings\AMT_2021.txt,30000,item1_start_only,ok
AMT,2023,2024-02-27,data\edgar\filings\AMT_2023.txt,29999,item1_start_only,ok
AMZN,2019,2020-01-31,data\edgar\filings\AMZN_2019.txt,13828,cached,ok
AMZN,2021,2022-02-04,data\edgar\filings\AMZN_2021.txt,13833,cached,ok
AMZN,2023,2024-02-02,data\edgar\filings\AMZN_2023.txt,14527,cached,ok
ANET,2019,2020-02-14,data\edgar\filings\ANET_2019.txt,30000,item1_extracted,ok
ANET,2021,2022-02-15,data\edgar\filings\ANET_2021.txt,30000,item1_extracted,ok
ANET,2023,2024-02-13,data\edgar\filings\ANET_2023.txt,30000,item1_extracted,ok
AON,2019,2020-02-14,data\edgar\filings\AON_2019.txt,24966,item1_extracted,ok
AON,2021,2022-02-18,data\edgar\filings\AON_2021.txt,28097,item1_extracted,ok
AON,2023,2024-02-16,data\edgar\filings\AON_2023.txt,29903,item1_extracted,ok
AOS,2019,2020-02-24,data\edgar\filings\AOS_2019.txt,12908,item1_extracted,ok
AOS,2021,2022-02-11,data\edgar\filings\AOS_2021.txt,17459,item1_extracted,ok
AOS,2023,2024-02-13,data\edgar\filings\AOS_2023.txt,20771,item1_extracted,ok
APA,2021,2022-02-22,data\edgar\filings\APA_2021.txt,30000,full_text_fallback,ok
APA,2023,2024-02-22,data\edgar\filings\APA_2023.txt,30000,full_text_fallback,ok
APD,2019,2020-11-19,data\edgar\filings\APD_2019.txt,29563,item1_extracted,ok
APD,2021,2022-11-22,data\edgar\filings\APD_2021.txt,30000,item1_extracted,ok
APD,2023,2024-11-21,data\edgar\filings\APD_2023.txt,30000,item1_extracted,ok
APH,2019,2020-02-12,data\edgar\filings\APH_2019.txt,250,item1_extracted,ok
APH,2021,2022-02-09,data\edgar\filings\APH_2021.txt,358,item1_extracted,ok
APH,2023,2024-02-07,data\edgar\filings\APH_2023.txt,428,item1_extracted,ok
APO,2023,2024-02-27,data\edgar\filings\APO_2023.txt,3544,item1_extracted,ok
APP,2021,2022-03-11,data\edgar\filings\APP_2021.txt,30000,item1_extracted,ok
APP,2023,2024-02-26,data\edgar\filings\APP_2023.txt,30000,item1_extracted,ok
APTV,2019,2020-02-03,data\edgar\filings\APTV_2019.txt,30000,item1_start_only,ok
APTV,2021,2022-02-07,data\edgar\filings\APTV_2021.txt,30000,item1_start_only,ok
APTV,2023,2024-02-06,data\edgar\filings\APTV_2023.txt,30000,item1_start_only,ok
ARE,2019,2020-02-04,data\edgar\filings\ARE_2019.txt,3246,item1_extracted,ok
ARE,2021,2022-01-31,data\edgar\filings\ARE_2021.txt,3409,item1_extracted,ok
ARE,2023,2024-01-29,data\edgar\filings\ARE_2023.txt,3242,item1_extracted,ok
ARES,2019,2020-02-28,data\edgar\filings\ARES_2019.txt,30000,item1_extracted,ok
ARES,2021,2022-02-28,data\edgar\filings\ARES_2021.txt,2664,item1_extracted,ok
ARES,2023,2024-02-27,data\edgar\filings\ARES_2023.txt,2698,item1_extracted,ok
ATO,2019,2020-11-13,data\edgar\filings\ATO_2019.txt,30000,item1_extracted,ok
ATO,2021,2022-11-14,data\edgar\filings\ATO_2021.txt,30000,item1_extracted,ok
ATO,2023,2024-11-18,data\edgar\filings\ATO_2023.txt,30000,item1_extracted,ok
AVB,2019,2020-02-21,data\edgar\filings\AVB_2019.txt,1661,item1_extracted,ok
AVB,2021,2022-02-25,data\edgar\filings\AVB_2021.txt,1728,item1_extracted,ok
AVB,2023,2024-02-23,data\edgar\filings\AVB_2023.txt,2011,item1_extracted,ok
AVGO,2019,2020-12-18,data\edgar\filings\AVGO_2019.txt,30000,cached,ok
AVGO,2021,2022-12-16,data\edgar\filings\AVGO_2021.txt,30000,cached,ok
AVGO,2023,2024-12-20,data\edgar\filings\AVGO_2023.txt,30000,cached,ok
AVY,2019,2020-02-26,data\edgar\filings\AVY_2019.txt,30000,full_text_fallback,ok
AVY,2021,2022-02-23,data\edgar\filings\AVY_2021.txt,24041,item1_extracted,ok
AVY,2023,2024-02-21,data\edgar\filings\AVY_2023.txt,30000,item1_extracted,ok
AWK,2019,2020-02-18,data\edgar\filings\AWK_2019.txt,1278,item1_extracted,ok
AWK,2021,2022-02-16,data\edgar\filings\AWK_2021.txt,1354,item1_extracted,ok
AWK,2023,2024-02-14,data\edgar\filings\AWK_2023.txt,1385,item1_extracted,ok
AXON,2019,2020-02-28,data\edgar\filings\AXON_2019.txt,22012,item1_extracted,ok
AXON,2021,2022-02-25,data\edgar\filings\AXON_2021.txt,30000,item1_extracted,ok
AXON,2023,2024-02-27,data\edgar\filings\AXON_2023.txt,4294,item1_extracted,ok
AXP,2019,2020-02-13,data\edgar\filings\AXP_2019.txt,30000,item1_extracted,ok
AXP,2021,2022-02-11,data\edgar\filings\AXP_2021.txt,30000,item1_extracted,ok
AXP,2023,2024-02-09,data\edgar\filings\AXP_2023.txt,30000,item1_extracted,ok
AZO,2019,2020-10-26,data\edgar\filings\AZO_2019.txt,287,item1_extracted,ok
AZO,2021,2022-10-24,data\edgar\filings\AZO_2021.txt,326,item1_extracted,ok
AZO,2023,2024-10-28,data\edgar\filings\AZO_2023.txt,326,item1_extracted,ok
BA,2019,2020-01-31,data\edgar\filings\BA_2019.txt,16499,item1_extracted,ok
BA,2021,2022-01-31,data\edgar\filings\BA_2021.txt,21976,item1_extracted,ok
BA,2023,2024-01-31,data\edgar\filings\BA_2023.txt,20300,item1_extracted,ok
BAC,2019,2020-02-19,data\edgar\filings\BAC_2019.txt,13030,cached,ok
BAC,2021,2022-02-22,data\edgar\filings\BAC_2021.txt,22319,cached,ok
BAC,2023,2024-02-20,data\edgar\filings\BAC_2023.txt,24985,cached,ok
BALL,2019,2020-02-19,data\edgar\filings\BALL_2019.txt,30000,item1_extracted,ok
BALL,2021,2022-02-16,data\edgar\filings\BALL_2021.txt,30000,item1_extracted,ok
BALL,2023,2024-02-20,data\edgar\filings\BALL_2023.txt,30000,item1_extracted,ok
BAX,2019,2020-03-17,data\edgar\filings\BAX_2019.txt,27922,item1_extracted,ok
BAX,2021,2022-02-23,data\edgar\filings\BAX_2021.txt,12445,item1_extracted,ok
BAX,2023,2024-02-08,data\edgar\filings\BAX_2023.txt,16486,item1_extracted,ok
BBY,2019,2020-03-23,data\edgar\filings\BBY_2019.txt,16350,item1_extracted,ok
BBY,2021,2022-03-18,data\edgar\filings\BBY_2021.txt,23345,item1_extracted,ok
BBY,2023,2024-03-15,data\edgar\filings\BBY_2023.txt,22457,item1_extracted,ok
BDX,2019,2020-11-25,data\edgar\filings\BDX_2019.txt,12587,item1_extracted,ok
BDX,2021,2022-11-22,data\edgar\filings\BDX_2021.txt,11375,item1_extracted,ok
BDX,2023,2024-11-27,data\edgar\filings\BDX_2023.txt,13292,item1_extracted,ok
BEN,2019,2020-11-23,data\edgar\filings\BEN_2019.txt,30000,item1_extracted,ok
BEN,2021,2022-11-14,data\edgar\filings\BEN_2021.txt,30000,item1_extracted,ok
BEN,2023,2024-11-12,data\edgar\filings\BEN_2023.txt,30000,item1_extracted,ok
BF-B,2019,2020-06-19,data\edgar\filings\BF-B_2019.txt,2407,item1_extracted,ok
BF-B,2021,2022-06-17,data\edgar\filings\BF-B_2021.txt,2474,item1_extracted,ok
BF-B,2023,2024-06-14,data\edgar\filings\BF-B_2023.txt,2511,item1_extracted,ok
BG,2023,2024-02-22,data\edgar\filings\BG_2023.txt,2400,item1_extracted,ok
BIIB,2019,2020-02-06,data\edgar\filings\BIIB_2019.txt,5223,item1_extracted,ok
BIIB,2021,2022-02-03,data\edgar\filings\BIIB_2021.txt,5890,item1_extracted,ok
BIIB,2023,2024-02-14,data\edgar\filings\BIIB_2023.txt,6905,item1_extracted,ok
BK,2019,2020-02-27,data\edgar\filings\BK_2019.txt,11231,item1_extracted,ok
BK,2021,2022-02-25,data\edgar\filings\BK_2021.txt,8321,item1_extracted,ok
BK,2023,2024-02-28,data\edgar\filings\BK_2023.txt,12962,item1_extracted,ok
BKNG,2019,2020-02-26,data\edgar\filings\BKNG_2019.txt,27965,item1_extracted,ok
BKNG,2021,2022-02-23,data\edgar\filings\BKNG_2021.txt,30000,item1_extracted,ok
BKNG,2023,2024-02-22,data\edgar\filings\BKNG_2023.txt,30000,item1_extracted,ok
BKR,2019,2020-02-13,data\edgar\filings\BKR_2019.txt,7024,item1_extracted,ok
BKR,2021,2022-02-11,data\edgar\filings\BKR_2021.txt,30000,item1_extracted,ok
BKR,2023,2024-02-05,data\edgar\filings\BKR_2023.txt,30000,item1_extracted,ok
BLDR,2019,2020-02-21,data\edgar\filings\BLDR_2019.txt,30000,item1_extracted,ok
BLDR,2021,2022-03-01,data\edgar\filings\BLDR_2021.txt,30000,item1_extracted,ok
BLDR,2023,2024-02-22,data\edgar\filings\BLDR_2023.txt,30000,item1_extracted,ok
BMY,2019,2020-02-24,data\edgar\filings\BMY_2019.txt,480,item1_extracted,ok
BMY,2021,2022-02-09,data\edgar\filings\BMY_2021.txt,509,item1_extracted,ok
BMY,2023,2024-02-13,data\edgar\filings\BMY_2023.txt,509,item1_extracted,ok
BR,2019,2020-08-11,data\edgar\filings\BR_2019.txt,30000,item1_extracted,ok
BR,2021,2022-08-12,data\edgar\filings\BR_2021.txt,30000,item1_extracted,ok
BR,2023,2024-08-06,data\edgar\filings\BR_2023.txt,30000,item1_extracted,ok
BRK-B,2019,2020-02-24,data\edgar\filings\BRK-B_2019.txt,30000,cached,ok
BRK-B,2021,2022-02-28,data\edgar\filings\BRK-B_2021.txt,30000,cached,ok
