ticker,year,cik,accession,filing_date,doc_url
A,2019,0001090872,0001090872-20-000020,2020-12-18,https://www.sec.gov/Archives/edgar/data/1090872/000109087220000020/a-20201031.htm
A,2021,0001090872,0001090872-22-000026,2022-12-21,https://www.sec.gov/Archives/edgar/data/1090872/000109087222000026/a-20221031.htm
A,2023,0001090872,0001090872-24-000049,2024-12-20,https://www.sec.gov/Archives/edgar/data/1090872/000109087224000049/a-20241031.htm
AAPL,2019,0000320193,0000320193-20-000096,2020-10-30,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
AAPL,2021,0000320193,0000320193-22-000108,2022-10-28,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
AAPL,2023,0000320193,0000320193-24-000123,2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm
ABBV,2019,0001551152,0001551152-20-000007,2020-02-21,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/abbv-20191231x10k.htm
ABBV,2021,0001551152,0001551152-22-000007,2022-02-18,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/abbv-20211231.htm
ABBV,2023,0001551152,0001551152-24-000011,2024-02-20,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/abbv-20231231.htm
ABNB,2021,0001559720,0001559720-22-000006,2022-02-25,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/abnb-20211231.htm
ABNB,2023,0001559720,0001559720-24-000006,2024-02-16,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/abnb-20231231.htm
ABT,2019,0000001800,0001104659-20-023904,2020-02-21,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/abt-20191231x10k59d41b.htm
ABT,2021,0000001800,0001104659-22-025141,2022-02-18,https://www.sec.gov/Archives/edgar/data/1800/000110465922025141/abt-20211231x10k.htm
ABT,2023,0000001800,0001628280-24-005348,2024-02-16,https://www.sec.gov/Archives/edgar/data/1800/000162828024005348/abt-20231231.htm
ACGL,2019,0000947484,0000947484-20-000012,2020-02-28,https://www.sec.gov/Archives/edgar/data/947484/000094748420000012/a201910-k.htm
ACGL,2021,0000947484,0000947484-22-000015,2022-02-25,https://www.sec.gov/Archives/edgar/data/947484/000094748422000015/acgl-20211231.htm
ACGL,2023,0000947484,0000947484-24-000020,2024-02-23,https://www.sec.gov/Archives/edgar/data/947484/000094748424000020/acgl-20231231.htm
ACN,2019,0001467373,0001467373-20-000376,2020-10-22,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000376/acn-20200831.htm
ACN,2021,0001467373,0001467373-22-000295,2022-10-12,https://www.sec.gov/Archives/edgar/data/1467373/000146737322000295/acn-20220831.htm
ACN,2023,0001467373,0001467373-24-000278,2024-10-10,https://www.sec.gov/Archives/edgar/data/1467373/000146737324000278/acn-20240831.htm
ADBE,2019,0000796343,0000796343-20-000013,2020-01-21,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm
ADBE,2021,0000796343,0000796343-22-000032,2022-01-21,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/adbe-20211203.htm
ADBE,2023,0000796343,0000796343-24-000006,2024-01-17,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm
ADI,2019,0000006281,0000006281-20-000156,2020-11-24,https://www.sec.gov/Archives/edgar/data/6281/000000628120000156/adi-20201031.htm
ADI,2021,0000006281,0000006281-22-000250,2022-11-22,https://www.sec.gov/Archives/edgar/data/6281/000000628122000250/adi-20221029.htm
ADI,2023,0000006281,0000006281-24-000204,2024-11-26,https://www.sec.gov/Archives/edgar/data/6281/000000628124000204/adi-20241102.htm
ADM,2019,0000007084,0000007084-20-000009,2020-02-18,https://www.sec.gov/Archives/edgar/data/7084/000000708420000009/adm-20191231x10k.htm
ADM,2021,0000007084,0000007084-22-000008,2022-02-17,https://www.sec.gov/Archives/edgar/data/7084/000000708422000008/adm-20211231.htm
ADM,2023,0000007084,0000007084-24-000009,2024-03-12,https://www.sec.gov/Archives/edgar/data/7084/000000708424000009/adm-20231231.htm
ADP,2019,0000008670,0000008670-20-000032,2020-08-05,https://www.sec.gov/Archives/edgar/data/8670/000000867020000032/adp-20200630.htm
ADP,2021,0000008670,0000008670-22-000038,2022-08-03,https://www.sec.gov/Archives/edgar/data/8670/000000867022000038/adp-20220630.htm
ADP,2023,0000008670,0000008670-24-000024,2024-08-07,https://www.sec.gov/Archives/edgar/data/8670/000000867024000024/adp-20240630.htm
ADSK,2019,0000769397,0000769397-20-000013,2020-03-19,https://www.sec.gov/Archives/edgar/data/769397/000076939720000013/adsk-0131202010xk.htm
ADSK,2021,0000769397,0000769397-22-000019,2022-03-14,https://www.sec.gov/Archives/edgar/data/769397/000076939722000019/adsk-20220131.htm
ADSK,2023,0000769397,0000769397-24-000090,2024-06-10,https://www.sec.gov/Archives/edgar/data/769397/000076939724000090/adsk-20240131.htm
AEE,2019,0001002910,0001002910-20-000077,2020-02-28,https://www.sec.gov/Archives/edgar/data/1002910/000100291020000077/aee201910-k.htm
AEE,2021,0001002910,0001002910-22-000038,2022-02-23,https://www.sec.gov/Archives/edgar/data/1002910/000100291022000038/aee-20211231.htm
AEE,2023,0001002910,0001002910-24-000056,2024-02-29,https://www.sec.gov/Archives/edgar/data/1002910/000100291024000056/aee-20231231.htm
AEP,2019,0000004904,0000004904-20-000007,2020-02-20,https://www.sec.gov/Archives/edgar/data/4904/000000490420000007/aep10klegal20194q.htm
AEP,2021,0000004904,0000004904-22-000024,2022-02-24,https://www.sec.gov/Archives/edgar/data/4904/000000490422000024/aep-20211231.htm
AEP,2023,0000004904,0000004904-24-000020,2024-02-26,https://www.sec.gov/Archives/edgar/data/4904/000000490424000020/aep-20231231.htm
AES,2019,0000874761,0000874761-20-000012,2020-02-28,https://www.sec.gov/Archives/edgar/data/874761/000087476120000012/a2019form10-k.htm
AES,2021,0000874761,0000874761-22-000022,2022-02-28,https://www.sec.gov/Archives/edgar/data/874761/000087476122000022/aes-20211231.htm
AES,2023,0000874761,0000874761-24-000011,2024-02-26,https://www.sec.gov/Archives/edgar/data/874761/000087476124000011/aes-20231231.htm
AFL,2019,0000004977,0000004977-20-000044,2020-02-21,https://www.sec.gov/Archives/edgar/data/4977/000000497720000044/afl12311910k.htm
AFL,2021,0000004977,0000004977-22-000058,2022-02-23,https://www.sec.gov/Archives/edgar/data/4977/000000497722000058/afl-20211231.htm
AFL,2023,0000004977,0000004977-24-000053,2024-02-22,https://www.sec.gov/Archives/edgar/data/4977/000000497724000053/afl-20231231.htm
AIG,2019,0000005272,0001104659-20-023889,2020-02-21,https://www.sec.gov/Archives/edgar/data/5272/000110465920023889/aig-20191231.htm
AIG,2021,0000005272,0001104659-22-024701,2022-02-17,https://www.sec.gov/Archives/edgar/data/5272/000110465922024701/aig-20211231.htm
AIG,2023,0000005272,0000005272-24-000023,2024-02-14,https://www.sec.gov/Archives/edgar/data/5272/000000527224000023/aig-20231231.htm
AIZ,2019,0001267238,0001267238-20-000004,2020-02-19,https://www.sec.gov/Archives/edgar/data/1267238/000126723820000004/aiz1231201910k.htm
AIZ,2021,0001267238,0001267238-22-000006,2022-02-22,https://www.sec.gov/Archives/edgar/data/1267238/000126723822000006/aiz-20211231.htm
AIZ,2023,0001267238,0001267238-24-000008,2024-02-15,https://www.sec.gov/Archives/edgar/data/1267238/000126723824000008/aiz-20231231.htm
AJG,2019,0000354190,0001193125-20-028191,2020-02-07,https://www.sec.gov/Archives/edgar/data/354190/000119312520028191/d879025d10k.htm
AJG,2021,0000354190,0001564590-22-005714,2022-02-18,https://www.sec.gov/Archives/edgar/data/354190/000156459022005714/ajg-10k_20211231.htm
AJG,2023,0000354190,0000950170-24-013370,2024-02-09,https://www.sec.gov/Archives/edgar/data/354190/000095017024013370/ajg-20231231.htm
AKAM,2019,0001086222,0001086222-20-000045,2020-02-28,https://www.sec.gov/Archives/edgar/data/1086222/000108622220000045/akam10k123119.htm
AKAM,2021,0001086222,0001086222-22-000058,2022-02-28,https://www.sec.gov/Archives/edgar/data/1086222/000108622222000058/akam-20211231.htm
AKAM,2023,0001086222,0001086222-24-000040,2024-02-28,https://www.sec.gov/Archives/edgar/data/1086222/000108622224000040/akam-20231231.htm
ALB,2019,0000915913,0000915913-20-000040,2020-02-26,https://www.sec.gov/Archives/edgar/data/915913/000091591320000040/a1231201910-kdocument.htm
ALB,2021,0000915913,0000915913-22-000027,2022-02-22,https://www.sec.gov/Archives/edgar/data/915913/000091591322000027/alb-20211231.htm
ALB,2023,0000915913,0000915913-24-000016,2024-02-15,https://www.sec.gov/Archives/edgar/data/915913/000091591324000016/alb-20231231.htm
ALGN,2019,0001097149,0001097149-20-000008,2020-02-28,https://www.sec.gov/Archives/edgar/data/1097149/000109714920000008/algn-20191231x10k.htm
ALGN,2021,0001097149,0001097149-22-000011,2022-02-25,https://www.sec.gov/Archives/edgar/data/1097149/000109714922000011/algn-20211231.htm
ALGN,2023,0001097149,0001097149-24-000011,2024-02-28,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000011/algn-20231231.htm
ALL,2019,0000899051,0000899051-20-000013,2020-02-21,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/allcorp-12311910xk.htm
ALL,2021,0000899051,0000899051-22-000015,2022-02-18,https://www.sec.gov/Archives/edgar/data/899051/000089905122000015/all-20211231.htm
ALL,2023,0000899051,0000899051-24-000013,2024-02-21,https://www.sec.gov/Archives/edgar/data/899051/000089905124000013/all-20231231.htm
ALLE,2019,0001579241,0001579241-20-000013,2020-02-18,https://www.sec.gov/Archives/edgar/data/1579241/000157924120000013/alle10k12312019doc.htm
ALLE,2021,0001579241,0001579241-22-000019,2022-02-15,https://www.sec.gov/Archives/edgar/data/1579241/000157924122000019/alle-20211231.htm
ALLE,2023,0001579241,0001579241-24-000006,2024-02-20,https://www.sec.gov/Archives/edgar/data/1579241/000157924124000006/alle-20231231.htm
AMAT,2019,0000006951,0000006951-20-000048,2020-12-11,https://www.sec.gov/Archives/edgar/data/6951/000000695120000048/amat-20201025.htm
AMAT,2021,0000006951,0000006951-22-000043,2022-12-16,https://www.sec.gov/Archives/edgar/data/6951/000000695122000043/amat-20221030.htm
AMAT,2023,0000006951,0000006951-24-000044,2024-12-13,https://www.sec.gov/Archives/edgar/data/6951/000000695124000044/amat-20241027.htm
AMCR,2019,0001748790,0001748790-20-000025,2020-08-27,https://www.sec.gov/Archives/edgar/data/1748790/000174879020000025/amcr-20200630.htm
AMCR,2021,0001748790,0001748790-22-000024,2022-08-18,https://www.sec.gov/Archives/edgar/data/1748790/000174879022000024/amcr-20220630.htm
AMCR,2023,0001748790,0001748790-24-000022,2024-08-16,https://www.sec.gov/Archives/edgar/data/1748790/000174879024000022/amcr-20240630.htm
AMD,2019,0000002488,0000002488-20-000008,2020-02-04,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm
AMD,2021,0000002488,0000002488-22-000016,2022-02-03,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm
AMD,2023,0000002488,0000002488-24-000012,2024-01-31,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm
AME,2019,0001037868,0001193125-20-043133,2020-02-20,https://www.sec.gov/Archives/edgar/data/1037868/000119312520043133/d878806d10k.htm
AME,2021,0001037868,0001037868-22-000009,2022-02-22,https://www.sec.gov/Archives/edgar/data/1037868/000103786822000009/ame-20211231.htm
AME,2023,0001037868,0001037868-24-000009,2024-02-22,https://www.sec.gov/Archives/edgar/data/1037868/000103786824000009/ame-20231231.htm
AMGN,2019,0000318154,0000318154-20-000017,2020-02-12,https://www.sec.gov/Archives/edgar/data/318154/000031815420000017/amgn-12312019x10kq42019.htm
AMGN,2021,0000318154,0000318154-22-000010,2022-02-16,https://www.sec.gov/Archives/edgar/data/318154/000031815422000010/amgn-20211231.htm
AMGN,2023,0000318154,0000318154-24-000011,2024-02-14,https://www.sec.gov/Archives/edgar/data/318154/000031815424000011/amgn-20231231.htm
AMP,2019,0000820027,0000820027-20-000010,2020-02-26,https://www.sec.gov/Archives/edgar/data/820027/000082002720000010/amp12312019.htm
AMP,2021,0000820027,0000820027-22-000016,2022-02-25,https://www.sec.gov/Archives/edgar/data/820027/000082002722000016/amp-20211231.htm
